No.,Ticker,Company,Index,Sector,Industry,Country,Market Cap,P/E,PEG,Book/sh,Cash/sh,Dividend Yield,Sales Growth Past 5 Years,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Average Volume,Target Price,Price,Date,Time,Prior Date,Purchase date,Sell Date,debt bin,growth bin,Short Ratio bin,PEG bin,Purchase date,ExchangeStatus,Month
54,INTC,Intel Corp,"NDX, S&P 500",Technology,Semiconductors,USA,174270.81,,,22.36,4.54,0.10%,-5.90%,0.97,0.52,-38.64%,80.27%,86.11%,1.29,10/23/2025 16:30,125168.18,29.09,37.31,10/23/2025,16:30,10/22/2025,10/23/2025,10/24/2025,5,-1,1,999,10/23/2025,Open,10/1/2025
37,LRCX,Lam Research Corp,"NDX, S&P 500",Technology,Semiconductor Equipment & Materials,USA,181992.18,34.71,2.72,7.77,5.07,0.69%,12.92%,2.53,0.48,29.06%,47.60%,99.81%,1.86,10/22/2025 16:30,11769.19,136.5,144.32,10/22/2025,16:30,10/21/2025,10/22/2025,10/23/2025,5,3,3,27,10/22/2025,Open,10/1/2025
51,TSLA,Tesla Inc,"NDX, S&P 500",Consumer Cyclical,Auto Manufacturers,USA,1471379.26,256.25,21.7,23.98,11.23,,31.78%,0.87,0.17,6.54%,44.94%,9.57%,2.07,10/22/2025 16:30,88282.02,369.72,442.5,10/22/2025,16:30,10/21/2025,10/22/2025,10/23/2025,2,6,1,217,10/22/2025,Open,10/1/2025
49,VRT,Vertiv Holdings Co,-,Industrials,Electrical Equipment & Parts,USA,66987.05,83.8,3.07,8.19,4.59,0.07%,12.57%,1.28,1.02,8.93%,34.74%,54.41%,1.85,10/22/2025 8:30,7289.24,175.04,175.42,10/22/2025,8:30,10/20/2025,10/21/2025,10/22/2025,10,3,1,31,10/21/2025,Open,10/1/2025
31,APH,Amphenol Corp,S&P 500,Technology,Electronic Components,USA,157730.81,51.54,1.84,9.43,2.64,0.52%,13.10%,1.1,0.7,16.90%,28.28%,86.02%,1.2,10/22/2025 8:30,8525.88,132.18,129.19,10/22/2025,8:30,10/20/2025,10/21/2025,10/22/2025,7,3,1,18,10/21/2025,Open,10/1/2025
46,TMO,Thermo Fisher Scientific Inc,S&P 500,Healthcare,Diagnostics & Research,USA,206176.22,31.6,4.41,133.77,16.93,0.30%,10.92%,1.78,0.7,15.24%,16.99%,4.95%,0.8,10/22/2025 8:30,2397.99,563.38,546,10/22/2025,8:30,10/20/2025,10/21/2025,10/22/2025,7,2,2,44,10/21/2025,Open,10/1/2025
38,LII,Lennox International Inc,S&P 500,Industrials,Building Products & Equipment,USA,18668.91,22.73,3.08,25.63,1.57,0.91%,7.01%,4.14,1.72,15.41%,-19.57%,-12.77%,1.11,10/22/2025 8:30,403.72,613,531.51,10/22/2025,8:30,10/20/2025,10/21/2025,10/22/2025,17,1,4,31,10/21/2025,Open,10/1/2025
12,ELV,Elevance Health Inc,S&P 500,Healthcare,Healthcare Plans,USA,78362.05,14.81,18.99,194.46,,1.94%,11.15%,1.39,0.69,2.83%,23.53%,-5.67%,0.59,10/21/2025 8:30,2310.86,367.89,348,10/21/2025,8:30,10/17/2025,10/20/2025,10/21/2025,7,2,1,190,10/20/2025,Open,10/1/2025
3,CLF,Cleveland-Cliffs Inc,-,Basic Materials,Steel,USA,6619.02,,,11.76,0.12,,57.45%,2.77,1.33,-9.03%,25.52%,42.34%,2.06,10/20/2025 8:30,25772.57,12.17,13.38,10/20/2025,8:30,10/16/2025,10/17/2025,10/20/2025,13,11,3,999,10/17/2025,Open,10/1/2025
4,SMMT,Summit Therapeutics Inc,-,Healthcare,Biotechnology,USA,15967.4,,,0.35,0.4,,,9.55,0.02,,-18.38%,20.48%,-1.19,10/20/2025 8:30,3764.54,32.71,21.5,10/20/2025,8:30,10/16/2025,10/17/2025,10/20/2025,0,0,10,999,10/17/2025,Open,10/1/2025
21,LBRT,Liberty Energy Inc,RUT,Energy,Oil & Gas Equipment & Services,USA,2017.16,9.57,,12.57,0.12,2.58%,16.74%,2.18,0.25,5.29%,7.37%,-37.38%,0.7,10/16/2025 16:30,4165.92,14.15,12.45,10/16/2025,16:30,10/15/2025,10/16/2025,10/17/2025,3,3,2,999,10/16/2025,Open,10/1/2025
4,CSX,CSX Corp,"NDX, S&P 500",Industrials,Railroads,USA,67524.11,22.26,4.42,6.64,0.21,1.41%,4.02%,1.44,1.59,21.91%,5.32%,12.24%,1.3,10/16/2025 16:30,19815.8,38.83,36.22,10/16/2025,16:30,10/15/2025,10/16/2025,10/17/2025,16,1,1,44,10/16/2025,Open,10/1/2025
9,INFY,Infosys Ltd ADR,-,Technology,Information Technology Services,India,68506.06,21.37,3.13,2.67,0.98,3.56%,8.53%,10.04,0.09,16.42%,-9.45%,-24.77%,0.96,10/16/2025 8:30,18409.14,19.29,16.49,10/16/2025,8:30,10/14/2025,10/15/2025,10/16/2025,1,2,10,31,10/15/2025,Open,10/1/2025
2,ASML,ASML Holding NV,NDX,Technology,Semiconductor Equipment & Materials,Netherlands,388119.96,38.37,1.78,52.59,21.95,0.84%,18.24%,1.13,0.21,29.27%,34.42%,44.48%,1.87,10/15/2025 8:30,1886.18,1008.06,1001.34,10/15/2025,8:30,10/13/2025,10/14/2025,10/15/2025,2,4,1,18,10/14/2025,Open,10/1/2025
1,BCE,BCE Inc,-,Communication Services,Telecom Services,Canada,22716.43,82.91,,11.51,0.4,7.02%,-0.13%,10.87,2.08,1.60%,-0.29%,5.09%,0.66,10/14/2025 8:30,2953.63,25.22,24.36,10/14/2025,8:30,10/10/2025,10/13/2025,10/14/2025,21,0,11,999,10/13/2025,Open,10/1/2025
1,FAST,Fastenal Co,"NDX, S&P 500",Industrials,Industrial Distribution,USA,49268.04,41.49,4.03,3.32,0.21,2.05%,7.19%,4.12,0.14,15.30%,-4.87%,19.40%,0.95,10/13/2025 8:30,6270.16,46.3,42.93,10/13/2025,8:30,10/9/2025,10/10/2025,10/13/2025,1,1,4,40,10/10/2025,Open,10/1/2025
187,LEVI,Levi Strauss & Co,-,Consumer Cyclical,Apparel Manufacturing,USA,9640.12,24.07,2.68,5.28,1.86,2.27%,1.98%,3.27,1.07,6.40%,11.00%,40.84%,1.38,10/9/2025 16:30,2716.33,25,24.36,10/9/2025,16:30,10/8/2025,10/9/2025,10/10/2025,11,0,3,27,10/9/2025,Open,10/1/2025
38,AZZ,AZZ Inc,RUT,Industrials,Specialty Business Services,USA,2906.71,9.32,,43.35,0.03,0.83%,8.24%,2.79,0.46,19.69%,-8.67%,18.22%,1.3,10/8/2025 16:30,309.78,126.89,96.85,10/8/2025,16:30,10/7/2025,10/8/2025,10/9/2025,5,2,3,999,10/8/2025,Open,10/1/2025
167,ITT,ITT Inc,-,Industrials,Specialty Industrial Machinery,USA,13991.25,28.2,2.41,32.78,6,0.76%,4.99%,3.68,0.45,13.99%,13.63%,25.54%,1.41,10/7/2025 8:30,379.46,197.1,179.38,10/7/2025,8:30,10/3/2025,10/6/2025,10/7/2025,5,1,4,24,10/6/2025,Open,10/1/2025
209,MKC,"McCormick & Co., Inc",S&P 500,Consumer Defensive,Packaged Foods,USA,17742.97,22.87,4.13,21.44,0.35,2.72%,4.69%,3.75,0.76,11.46%,-8.13%,-13.30%,0.62,10/7/2025 8:30,2515.38,78.64,66.1,10/7/2025,8:30,10/3/2025,10/6/2025,10/7/2025,8,1,4,41,10/6/2025,Open,10/1/2025
