No.,company_name,EADate,date_status,estimated_eps,previous_eps,Ticker,EATime,EATimeFlag,Ticker.1,Prior Date,Market Cap,Employees,IPO Date,Shares_Outstanding,Price,Price_3M_Ago,Performance (Quarter),Sector,Industry,Country,Purchase date,Sell Date,Sales Growth Past 5 Years,Short Ratio,Total Debt/Equity,Average Volume,QuarterlyPerf
17,Arrowhead Pharma,11/25/2025,confirmed,-0.04,-1.37,ARWR,16:01:00,AMC,ARWR,11/25/2025,5266.2,609,2/1/1995,138257550,38.09,21.18,79.80%,Healthcare,Biotechnology,USA,11/25/2025,,11.98%,2,0.5,1000000,79.84
127,Ambarella,11/25/2025,confirmed,-0.04,0.11,AMBA,16:05:00,AMC,AMBA,11/25/2025,3556.8,353,10/10/2012,42689006,83.32,70.53,18.10%,Technology,Semiconductor Equipment & Materials,USA,11/25/2025,,11.98%,2,0.5,1000000,18.13
119,Banco BBVA Argentina,11/25/2025,confirmed,0.2,0.51,BBAR,16:30:00,AMC,BBAR,11/25/2025,3010.4,6509,11/24/1993,204236693,14.74,12.86,14.60%,Financial,Banks - Regional,Argentina,11/25/2025,,11.98%,2,0.5,1000000,14.62
76,Safe Bulkers,11/25/2025,confirmed,0.1,0.16,SB,16:05:00,AMC,SB,11/25/2025,480.9,941,5/29/2008,102320099,4.7,4.34,8.30%,Industrials,Marine Shipping,Monaco,11/25/2025,,11.98%,2,0.5,1000000,8.29
11,Zscaler,11/25/2025,confirmed,0.5,0.77,ZS,16:05:00,AMC,ZS,11/25/2025,44281.5,7923,3/16/2018,158300823,279.73,267.68,4.50%,Technology,Software - Infrastructure,USA,11/25/2025,,11.98%,2,0.5,1000000,4.5
88,Autodesk,11/25/2025,confirmed,2.21,2.17,ADSK,16:00:00,AMC,ADSK,11/25/2025,61119.3,15300,7/1/1985,213000000,286.945,282.45,1.60%,Technology,Software - Application,USA,11/25/2025,,11.98%,2,0.5,1000000,1.59
65,Cleanspark,11/25/2025,confirmed,0.34,-0.27,CLSK,16:05:00,AMC,CLSK,11/25/2025,2614.5,270,4/11/2011,267335782,9.78,9.68,1.00%,Financial,Capital Markets,USA,11/25/2025,,11.98%,2,0.5,1000000,1.03
94,Guess,11/25/2025,confirmed,0.24,0.34,GES,16:15:00,AMC,GES,11/25/2025,883.5,13000,8/8/1996,52151734,16.94,16.85,0.50%,Consumer Cyclical,Apparel Retail,USA,11/25/2025,,11.98%,2,0.5,1000000,0.53
61,Super Hi International,11/26/2025,confirmed,0.2,0.06,HDL,5:30:00,BMO,HDL,11/26/2025,1023.8,13651,5/17/2024,58836600,,19.41,0.00%,Consumer Cyclical,Restaurants,Singapore,11/25/2025,,11.98%,2,0.5,1000000,0
86,Deere,11/26/2025,confirmed,3.88,4.55,DE,6:03:00,BMO,DE,11/26/2025,128766,75800,8/4/1958,270329392,,493.08,0.00%,Industrials,Farm & Heavy Construction Machinery,USA,11/25/2025,,11.98%,2,0.5,1000000,0
89,Cheetah Mobile,11/26/2025,confirmed,,-0.175,CMCM,5:00:00,BMO,CMCM,11/26/2025,198.3,934,5/8/2014,30690685,,5.95,0.00%,Communication Services,Internet Content & Information,China,11/25/2025,,11.98%,2,0.5,1000000,0
90,Amber International,11/26/2025,confirmed,,,AMBR,7:30:00,BMO,AMBR,11/26/2025,119,225,12/22/2017,93682925,,3.88,0.00%,Technology,Software - Infrastructure,Singapore,11/25/2025,,11.98%,2,0.5,1000000,0
92,Gaotu Techedu,11/26/2025,confirmed,,-0.25,GOTU,1:00:00,BMO,GOTU,11/26/2025,589.4,14381,6/6/2019,243574263,,3.78,0.00%,Consumer Defensive,Education & Training Services,China,11/25/2025,,11.98%,2,0.5,1000000,0
93,EHang Holdings,11/26/2025,confirmed,,0.032,EH,3:00:00,BMO,EH,11/26/2025,1018.6,483,12/12/2019,71984858,,15.91,0.00%,Industrials,Aerospace & Defense,China,11/25/2025,,11.98%,2,0.5,1000000,0
101,CollPlant Biotechnologies,11/26/2025,confirmed,0.25,-0.33,CLGN,7:00:00,BMO,CLGN,11/26/2025,27.2,57,6/4/2021,12716014,,2.91,0.00%,Healthcare,Biotechnology,Israel,11/25/2025,,11.98%,2,0.5,1000000,0
