No.,Ticker,Company,Index,Sector,Industry,Country,Market Cap,P/E,PEG,Book/sh,Cash/sh,Dividend Yield,Sales Growth Past 5 Years,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Average Volume,Target Price,Price,Date,Time,Purchase date,Sell Date,debt bin,growth bin,Short Ratio bin,PEG bin
3097,URGN,UroGen Pharma Ltd,RUT,Healthcare,Biotechnology,USA,904,,,-2.02,3.42,,449.77%,2.54,0,-164.44%,382.47%,83.47%,1.12,8/7/2025 8:30,2705.64,32,19.54,8/7/2025,08:30,8/6/2025,8/7/2025,0,90,3,999
1453,IBRX,ImmunityBio Inc,RUT,Healthcare,Biotechnology,USA,2211.9,,,-0.62,0.16,,221.39%,8.48,0,-648.57%,-4.88%,-8.59%,0.18,8/5/2025 8:30,8863.32,10.2,2.34,8/5/2025,08:30,8/4/2025,8/5/2025,0,44,8,999
50,ADAP,Adaptimmune Therapeutics Plc ADR,-,Healthcare,Biotechnology,United Kingdom,15.82,,,-0.27,0.1,,175.28%,0.38,0,-258.57%,-77.98%,-88.92%,2.24,8/13/2025 8:30,28991.99,0.28,0.06,8/13/2025,08:30,8/12/2025,8/13/2025,0,35,0,999
737,CRMD,CorMedix Inc,RUT,Healthcare,Biotechnology,USA,1055.54,18.94,,2.96,2.55,,173.65%,5.72,0,42.11%,13.76%,74.57%,1.76,8/7/2025 8:30,2477.57,19.17,14.14,8/7/2025,08:30,8/6/2025,8/7/2025,0,35,6,999
2699,SLN,Silence Therapeutics Plc ADR,-,Healthcare,Biotechnology,United Kingdom,245.6,,,1.99,2.42,,168.30%,7.93,0,-364.60%,0.19%,-24.42%,1.38,8/7/2025 8:30,97.14,30.67,5.2,8/7/2025,08:30,8/6/2025,8/7/2025,0,34,8,999
407,BHST,BioHarvest Sciences Inc,-,Consumer Defensive,Packaged Foods,Canada,145.6,,,-0.24,0.22,,158.55%,1.2,0,-39.95%,32.28%,35.92%,1.39,8/11/2025 16:30,13.11,13.67,8.4,8/11/2025,16:30,8/11/2025,8/12/2025,0,32,1,999
2486,REAX,The Real Brokerage Inc,RUT,Real Estate,Real Estate Services,USA,1075.87,,,0.24,0.49,,140.40%,2.08,0,-0.78%,24.88%,12.39%,0.6,8/7/2025 8:30,1294.35,6.33,5.17,8/7/2025,08:30,8/6/2025,8/7/2025,0,28,2,999
3292,XERS,Xeris Biopharma Holdings Inc,RUT,Healthcare,Biotechnology,USA,1290.23,,,-0.12,0.37,,136.89%,5.35,0,-13.01%,67.15%,135.69%,0.46,8/7/2025 8:30,2495.28,9,7.99,8/7/2025,08:30,8/6/2025,8/7/2025,0,27,5,999
3164,VNRX,VolitionRX Ltd,-,Healthcare,Medical Devices,USA,71.68,,,-0.31,0.02,,135.32%,0.82,0,-1767.88%,35.49%,11.03%,1.27,8/15/2025 8:30,217.64,3.12,0.67,8/15/2025,08:30,8/14/2025,8/15/2025,0,27,1,999
1781,LPCN,Lipocine Inc,-,Healthcare,Biotechnology,USA,16.31,,,3.19,3.31,,132.45%,2.36,0,-107.11%,-11.47%,-38.32%,1.28,8/5/2025 8:30,39.44,7.38,3.01,8/5/2025,08:30,8/4/2025,8/5/2025,0,26,2,999
3346,ZK,ZEEKR Intelligent Technology Holding Ltd. ADR,-,Consumer Cyclical,Auto Manufacturers,China,7456.33,,,-13.26,5.63,,118.66%,1.25,0,-3.68%,12.02%,3.81%,0.09,8/14/2025 8:30,473.63,35.56,29.46,8/14/2025,08:30,8/13/2025,8/14/2025,0,24,1,999
2789,SRFM,Surf Air Mobility Inc,-,Industrials,Airlines,USA,192.72,,,-3.16,0.53,,99.76%,0.36,0,-53.48%,63.64%,-16.51%,2.97,8/12/2025 16:30,8553.15,7.88,4.5,8/12/2025,16:30,8/12/2025,8/13/2025,0,20,0,999
2746,SNWV,Sanuwave Health Inc,RUT,Healthcare,Medical Devices,USA,379.9,,,-1.72,0.99,,99.65%,5.33,0,-97.02%,60.54%,92.78%,1.39,8/8/2025 8:30,82.93,55,44.34,8/8/2025,08:30,8/7/2025,8/8/2025,0,20,5,999
1024,EOSE,Eos Energy Enterprises Inc,RUT,Industrials,Electrical Equipment & Parts,USA,1850.16,,,-4.3,0.59,,99.33%,5.19,0,-3015.66%,18.77%,46.50%,2.17,7/30/2025 16:30,15711.84,6.75,7.12,7/30/2025,16:30,7/30/2025,7/31/2025,0,20,5,999
52,ADCT,Adc Therapeutics SA,RUT,Healthcare,Biotechnology,Switzerland,362.24,,,-1.77,2.35,,97.79%,5.61,0,-220.00%,21.51%,61.81%,2.01,8/12/2025 8:30,805.3,8.25,3.22,8/12/2025,08:30,8/11/2025,8/12/2025,0,20,6,999
