No.,Ticker,Company,Index,Sector,Industry,Country,Market Cap,P/E,PEG,Book/sh,Cash/sh,Dividend Yield,Sales Growth Past 5 Years,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Average Volume,Target Price,Price,Date,Time,Purchase date,Sell Date,debt bin,growth bin,Short Ratio bin,PEG bin
589,CRMD,CorMedix Inc,RUT,Healthcare,Biotechnology,USA,1108.91,19.89,,2.96,2.55,,173.65%,5.53,0,42.11%,22.36%,83.40%,1.77,8/7/2025 8:30,2563.73,19.17,14.85,8/7/2025,8:30,8/6/2025,8/7/2025,0,35,6,999
2170,SLN,Silence Therapeutics Plc ADR,-,Healthcare,Biotechnology,United Kingdom,229.54,,,1.99,2.42,,168.30%,8.22,0,-364.60%,-16.78%,-29.36%,1.37,8/7/2025 8:30,93.71,30.67,4.86,8/7/2025,8:30,8/6/2025,8/7/2025,0,34,8,999
1995,REAX,The Real Brokerage Inc,RUT,Real Estate,Real Estate Services,USA,1112.29,,,0.24,0.49,,140.40%,1.92,0,-0.78%,29.73%,16.20%,0.62,8/7/2025 8:30,1401.1,6.33,5.34,8/7/2025,8:30,8/6/2025,8/7/2025,0,28,2,999
1424,LPCN,Lipocine Inc,-,Healthcare,Biotechnology,USA,15.86,,,3.19,3.31,,132.45%,2.37,0,-107.11%,-13.41%,-40.02%,1.28,8/5/2025 8:30,39.23,7.38,2.93,8/5/2025,8:30,8/4/2025,8/5/2025,0,26,2,999
603,CSAI,Cloudastructure Inc,-,Technology,Software - Infrastructure,USA,29.04,,,0.46,0.42,,77.69%,1.93,0,-281.75%,-39.11%,-95.36%,,8/13/2025 8:30,334.36,6,1.57,8/13/2025,8:30,8/12/2025,8/13/2025,0,16,2,999
858,EXOD,Exodus Movement Inc,-,Technology,Software - Infrastructure,USA,732.55,7.74,,9.57,2,,71.13%,3.02,0,73.05%,-11.58%,-17.86%,2.99,8/11/2025 16:30,147.25,55.43,25.2,8/11/2025,16:30,8/11/2025,8/12/2025,0,14,3,999
2496,UUUU,Energy Fuels Inc,RUT,Energy,Uranium,USA,2670.06,,,2.79,0.86,,67.84%,2.04,0,-143.05%,136.71%,125.63%,1.78,8/7/2025 8:30,13664.11,11.41,11.57,8/7/2025,8:30,8/6/2025,8/7/2025,0,14,2,999
1162,ICG,Intchains Group Ltd ADR,-,Technology,Semiconductors,China,55.63,39.81,,2.37,2.32,,49.84%,1.03,0,6.61%,-11.24%,-43.78%,1.74,8/14/2025 16:30,205.16,5,1.86,8/14/2025,16:30,8/14/2025,8/15/2025,0,10,1,999
2648,YALA,Yalla Group Limited ADR,-,Technology,Software - Application,United Arab Emirates,1042.05,9.82,,4.46,5.28,,39.86%,1.4,0,42.02%,13.26%,92.49%,0.8,8/11/2025 16:30,664.73,9.27,7.82,8/11/2025,16:30,8/11/2025,8/12/2025,0,8,1,999
593,CRON,Cronos Group Inc,-,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,993.73,54.63,,2.82,2.18,,37.71%,1.18,0,14.19%,31.06%,28.47%,1.14,8/7/2025 8:30,2169.59,2.87,2.6,8/7/2025,8:30,8/6/2025,8/7/2025,0,8,1,999
