No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
1,A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,40566.31,32.85,139.04,-2.67%,2298354,24.36,6.64,6.15,6.52,24.28,26.38,-4.37%,9.71%,33.93%,4.95%,7.00%,0.68%,11.47%,20.71%,14.87%,2.15,1.64,0.34,0.41,54.65%,24.00%,18.84%,8/21/2024 4:30:00 PM,292.12,290.55,0.41%,-6.45%,93.54%,-3.30%,0.95%,1.31,2108.29,1.25%,10.24%,1.11%,4.50%,8.87%,0.01%,2.75%,2.53%,2.45,1.09,1.05,3.71,4.39%,3.41%,4.57%,-10.50%,43.64%,58.15,-2.07%,-0.62%
2,AAL,American Airlines Group Inc,Industrials,Airlines,USA,6324.02,,9.63,-5.03%,48307941,5.22,,0.12,,0.68,,-57.71%,64.73%,-17.73%,42.40%,16.93%,,-0.18%,,-0.41%,0.6,0.5,,,20.24%,5.34%,-0.23%,7/25/2024 8:30:00 AM,654.27,647.33,1.43%,0.00%,58.65%,1.45%,17.06%,3.1,35568.82,-9.32%,-13.40%,-30.52%,-32.85%,-39.62%,-29.91%,4.30%,3.81%,2.5,1.36,1.43,0.44,-10.03%,-15.05%,-26.68%,-40.70%,-1.28%,31.1,-3.02%,-2.07%
3,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3371355.24,33.46,219.86,0.69%,105460372,29.7,3.01,8.74,50.17,54.55,32.31,9.22%,10.57%,15.55%,11.10%,8.34%,0.45%,30.59%,160.58%,66.68%,0.95,0.91,1.29,1.52,48.12%,31.27%,26.44%,8/1/2024 4:30:00 PM,15550.06,15319.8,0.09%,-4.15%,61.93%,-0.48%,0.88%,2.02,67077.23,0.87%,-0.76%,27.06%,17.66%,14.17%,14.20%,2.42%,2.23%,1.88,1.57,1.24,5.42,-2.31%,3.68%,16.13%,-7.32%,34.00%,50.79,0.32%,0.36%
4,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,334261.52,63.19,189.29,-0.22%,6301824,15.65,10.05,6.08,41.74,18.5,15.3,-2.45%,11.60%,-5.77%,6.29%,11.76%,3.27%,4.20%,55.92%,7.39%,0.94,0.83,7.97,9.24,84.51%,32.12%,9.65%,7/25/2024 8:30:00 AM,1765.94,1764.15,0.10%,-29.58%,72.90%,0.10%,0.93%,2.98,5496.56,2.23%,15.53%,17.71%,12.95%,26.72%,22.15%,2.87%,2.48%,1.83,1.15,0.62,4.64,8.16%,11.74%,15.95%,-0.88%,39.34%,69.97,-0.88%,0.67%
5,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,81405.53,17.18,128.23,-5.08%,7731822,24.95,0.92,7.95,10.33,7.32,19.55,-37.24%,13.13%,,18.60%,27.50%,,22.17%,74.91%,48.78%,1.44,1.44,0.28,0.29,71.25%,16.06%,48.23%,8/6/2024 4:30:00 PM,438.0,423.1,33.35%,-1.18%,53.36%,-1.19%,2.63%,2.68,4150.37,-8.47%,-16.04%,-19.01%,-12.47%,-11.30%,-5.81%,2.63%,2.45%,2.82,1.86,1.19,4.06,-12.17%,-12.79%,-11.81%,-24.61%,13.24%,22.44,-0.84%,-4.28%
6,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,193668.26,35.13,111.31,1.05%,9885236,21.64,4.28,4.76,4.93,26.83,34.25,4.97%,10.35%,19.65%,8.20%,6.10%,1.94%,7.56%,14.47%,10.55%,1.68,1.18,0.33,0.38,50.63%,16.24%,13.59%,7/18/2024 8:30:00 AM,1734.08,1727.42,0.72%,-0.40%,79.24%,0.27%,0.62%,1.63,6582.48,5.77%,8.78%,5.09%,-2.78%,2.48%,1.13%,3.74%,2.50%,1.69,1.5,0.71,2.69,6.82%,6.92%,3.97%,-8.49%,24.13%,67.35,1.03%,0.03%
7,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,37049.6,6.94,98.67,1.62%,3584136,11.0,0.35,2.46,1.87,,5.56,4.66%,1.42%,46.40%,19.70%,20.50%,0.84%,10.93%,30.85%,23.11%,0.54,,0.13,0.13,,27.45%,35.93%,7/30/2024 4:30:00 PM,373.4,362.39,3.49%,-1.10%,88.53%,-0.11%,1.31%,3.01,1579.77,1.82%,1.04%,3.68%,20.20%,27.55%,32.85%,3.05%,2.05%,1.67,2.27,0.59,2.25,1.69%,-0.65%,10.52%,-4.93%,35.44%,53.67,1.77%,-0.15%
8,ACN,Accenture plc,Technology,Information Technology Services,Ireland,202414.69,29.58,323.15,-1.50%,2682724,25.34,4.13,3.14,7.3,36.52,23.35,2.38%,6.74%,11.18%,7.17%,9.59%,1.58%,13.34%,26.20%,23.14%,1.16,1.16,0.08,0.17,32.62%,15.48%,10.78%,6/20/2024 8:30:00 AM,628.27,624.91,0.23%,-5.46%,79.12%,1.23%,1.06%,1.9,3497.88,-1.62%,5.69%,7.59%,-12.88%,1.69%,-7.91%,1.99%,2.18%,1.87,0.77,1.23,7.01,1.15%,5.81%,-2.16%,-16.61%,15.95%,55.91,-0.57%,-0.94%
9,ADBE,Adobe Inc,Technology,Software - Infrastructure,USA,233303.77,47.25,526.17,-3.70%,2728432,25.57,3.43,11.43,15.92,28.93,36.64,13.03%,13.31%,17.86%,13.79%,16.75%,,17.56%,34.22%,26.22%,1.16,1.16,0.3,0.41,87.41%,35.38%,24.87%,6/13/2024 4:30:00 PM,455.0,441.49,0.43%,-2.04%,84.70%,-0.74%,1.40%,1.89,3280.56,-3.00%,-7.71%,10.41%,-16.20%,-0.78%,-11.81%,2.72%,2.18%,1.76,0.83,1.29,14.14,-5.06%,1.32%,-3.70%,-17.56%,21.25%,42.63,-1.79%,-1.95%
10,ADI,Analog Devices Inc.,Technology,Semiconductors,USA,103193.91,48.68,207.96,-5.01%,6796215,25.79,,9.86,2.93,43.66,33.68,-37.81%,28.53%,10.35%,-1.41%,17.39%,1.76%,4.35%,6.01%,5.11%,1.57,1.13,0.19,0.23,51.88%,25.71%,20.45%,8/21/2024 8:30:00 AM,496.26,494.23,0.40%,-3.94%,89.11%,0.22%,2.03%,3.1,3246.84,-8.16%,-9.59%,5.84%,8.31%,8.05%,4.73%,3.50%,2.81%,1.84,2.09,1.08,7.47,-10.33%,-10.27%,3.96%,-14.82%,34.18%,35.68,-2.13%,-2.94%
