No.,company_name,EADate,date_status,estimated_eps,previous_eps,Ticker,EATime,EATimeFlag,Ticker.1,Prior Date,Market Cap,Employees,IPO Date,Shares_Outstanding,Price,Price_3M_Ago,Performance (Quarter),Sector,Industry,Country,Purchase date,Sell Date,Sales Growth Past 5 Years,Short Ratio,Total Debt/Equity,Average Volume,QuarterlyPerf
23,Entero Therapeutics,11/19/2025,confirmed,,-1.77,ENTO,17:14:00,AMC,ENTO,11/19/2025,6.5,2,10/11/2016,2122779,3.08,2.06,49.50%,Healthcare,Biotechnology,USA,11/19/2025,,11.98%,2,0.5,1000000,49.51
20,Polar Power,11/19/2025,confirmed,,0.01,POLA,16:45:00,AMC,POLA,11/19/2025,6.9,82,12/7/2016,2511532,2.75,1.85,48.60%,Industrials,Electrical Equipment & Parts,USA,11/19/2025,,11.98%,2,0.5,1000000,48.65
24,PACS Group,11/19/2025,confirmed,0.44,0.27,PACS,16:30:00,AMC,PACS,11/19/2025,2611.6,,4/11/2024,155177511,16.83,11.92,41.20%,Healthcare,Medical Care Facilities,USA,11/19/2025,,11.98%,2,0.5,1000000,41.19
63,PACS Group,11/19/2025,confirmed,0.38,0.1,PACS,16:00:00,AMC,PACS,11/19/2025,2611.6,,4/11/2024,155177511,16.83,11.92,41.20%,Healthcare,Medical Care Facilities,USA,11/19/2025,,11.98%,2,0.5,1000000,41.19
57,Universal Security,11/19/2025,confirmed,,0.25,UUU,16:30:00,AMC,UUU,11/19/2025,8.9,11,1/22/1973,2312887,3.83,2.95,29.80%,Industrials,Building Products & Equipment,USA,11/19/2025,,11.98%,2,0.5,1000000,29.83
59,Hillenbrand,11/19/2025,confirmed,0.61,1.01,HI,16:15:00,AMC,HI,11/19/2025,2229.6,10450,4/1/2008,70489263,31.63,24.6,28.60%,Industrials,Specialty Industrial Machinery,USA,11/19/2025,,11.98%,2,0.5,1000000,28.58
41,Nutex Health,11/19/2025,confirmed,1.95,-1.72,NUTX,16:30:00,AMC,NUTX,11/19/2025,793.4,830,4/4/2022,7071916,112.19,92.75,21.00%,Healthcare,Medical Care Facilities,USA,11/19/2025,,11.98%,2,0.5,1000000,20.96
14,JOYY,11/19/2025,confirmed,1.15,1.07,JOYY,19:00:00,AMC,JOYY,11/19/2025,3079,5815,11/21/2012,51362923,59.945,50.36,19.00%,Communication Services,Internet Content & Information,Singapore,11/19/2025,,11.98%,2,0.5,1000000,19.03
54,BBB Foods,11/19/2025,confirmed,-0.43,0.1,TBBB,16:26:00,AMC,TBBB,11/19/2025,3500.4,25300,2/9/2024,114766805,30.5,25.87,17.90%,Consumer Defensive,Discount Stores,Mexico,11/19/2025,,11.98%,2,0.5,1000000,17.9
65,Nano Dimension,11/19/2025,confirmed,,-0.05,NNDM,16:05:00,AMC,NNDM,11/19/2025,342.8,649,6/11/2015,218362257,1.57,1.36,15.40%,Technology,Computer Hardware,Israel,11/19/2025,,11.98%,2,0.5,1000000,15.44
