Date,Primary,Competitors,Count,Positive,Negative,Pos Sum,Pos Mean,Neg Sum,Neg Mean,Net
5/8/2026,AAOI,LITE FN OCLR NPTN INFN,5,2,1,9.04,4.52,-72.05,-72.05,-63.01
5/8/2026,ACLS,AMAT LRCX ENTG KLAC,4,4,0,43.99,11,0,0,43.99
5/8/2026,AKAM,NET FSLY LLNW ZS,4,2,0,62.78,31.39,0,0,62.78
5/8/2026,ARWR,ALNY IONS MRNA BNTX,4,3,1,108.57,36.19,-1.62,-1.62,106.95
5/8/2026,BTE,HES MRO APA DVN,4,2,1,21.67,10.84,-4.91,-4.91,16.76
5/8/2026,CARG,EBAY ETSY KMX TRUE SFT,5,4,0,450.74,112.68,0,0,450.74
5/8/2026,CENX,AA RIO KALU,3,2,1,99,49.5,-9.58,-9.58,89.42
5/8/2026,CLMT,DINO VLO PSX PBF MPC,5,5,0,1771.28,354.26,0,0,1771.28
5/8/2026,COIN,SQ HOOD RIOT MARA,4,2,2,38.89,19.44,-360.41,-180.2,-321.52
5/8/2026,CRWV,GPRE FSLR PLUG,3,1,2,8.26,8.26,-825.74,-412.87,-817.48
5/8/2026,DFTX,EQIX DLR CONE,3,1,1,2.71,2.71,-3.8,-3.8,-1.09
5/8/2026,DIOD,ON NXPI ADI MCHP,4,2,1,5.25,2.62,-121.28,-121.28,-116.03
5/8/2026,ESE,EMR ROK ABB,3,2,0,14.99,7.5,0,0,14.99
5/8/2026,FIGS,LULU NKE UAA COLM GOOS,5,4,1,834.8,208.7,-12.08,-12.08,822.72
5/8/2026,FLR,J ACM KBR PWR,4,3,1,60.94,20.31,-124.95,-124.95,-64.01
5/8/2026,GRND,DASH UBER GRUB operates under UBER,4,2,0,10.44,5.22,0,0,10.44
5/8/2026,LASR,COHR IPGP IIVI,3,1,1,1.12,1.12,-6.88,-6.88,-5.76
5/8/2026,MCHP,ADI TXN NXPI,3,3,0,28.01,9.34,0,0,28.01
5/8/2026,MP,LYSCF NIOBF UUUU,3,0,1,0,0,-166.67,-166.67,-166.67
5/8/2026,NET,AKAM FSLY ZS CRWD,4,3,0,64.34,21.45,0,0,64.34
5/8/2026,NKTR,AMGN BIIB GILD,3,2,0,31.65,15.82,0,0,31.65
5/8/2026,OLN,DOW LYB EMN HUN WLK,5,3,2,130.25,43.42,-311.72,-155.86,-181.47
5/8/2026,OPEN,ZG RDFN RLGY,3,1,0,120.14,120.14,0,0,120.14
5/8/2026,OUT,LAMR CCO,2,1,1,8.15,8.15,-7.54,-7.54,0.61
5/8/2026,POWI,ON TXN MCHP ADI STM,5,2,2,25.81,12.9,-198.85,-99.42,-173.04
5/8/2026,RNG,EGHT ZM TWLO VG CSCO,5,5,0,233,46.6,0,0,233
5/8/2026,SBS,AWK VEOEY WTRG CWT,4,0,4,0,0,-134.43,-33.61,-134.43
5/8/2026,SOUN,VERI AI BBAI,3,0,3,0,0,-240.54,-80.18,-240.54
5/8/2026,SYNA,CRUS QCOM NXPI MXIM,4,3,0,16.52,5.51,0,0,16.52
5/8/2026,TXG,ILMN DHR A TMO,4,3,1,19.32,6.44,-13.72,-13.72,5.6
5/8/2026,XENE,IONS SAGE WVE PTCT,4,2,0,119.41,59.7,0,0,119.41
5/8/2026,XYZ,CMA CMB CMC,3,1,1,16.98,16.98,-10.48,-10.48,6.5
2026-05-09,CEG,NEE DUK AEP,3,3,0,25.84,8.61,0.0,0.0,25.84
2026-05-09,KEEL,SSW DAC MATX,3,2,0,20.61,10.3,0.0,0.0,20.61
2026-05-09,KGS,WMB KMI ENB,3,3,0,43.53,14.51,0.0,0.0,43.53
2026-05-09,KSPI,PLUG BLDP BE,3,2,1,266.55,133.28,-509.4,-509.4,-242.85
2026-05-09,SDRL,RIG NE DO,3,1,1,26.2,26.2,-136.08,-136.08,-109.88
2026-05-09,UNIT,AMT CCI SBAC EQIX,4,2,2,29.25,14.62,-4.08,-2.04,25.17
2026-05-09,CEG,NEE DUK AEP,3,3,0,25.84,8.61,0.0,0.0,25.84
2026-05-09,KEEL,SSW DAC MATX,3,2,0,20.61,10.3,0.0,0.0,20.61
2026-05-09,KGS,WMB KMI ENB,3,3,0,43.53,14.51,0.0,0.0,43.53
2026-05-09,KSPI,PLUG BLDP BE,3,2,1,266.55,133.28,-509.4,-509.4,-242.85
2026-05-09,SDRL,RIG NE DO,3,1,1,26.2,26.2,-136.08,-136.08,-109.88
2026-05-09,UNIT,AMT CCI SBAC EQIX,4,2,2,29.25,14.62,-4.08,-2.04,25.17
2026-05-09,BLSH,BL PLAN WK,3,2,0,41.54,20.77,0.0,0.0,41.54
2026-05-09,ECO,QCLN ICLN NEE,3,1,0,5.67,5.67,0.0,0.0,5.67
2026-05-09,LGN,LNG TELL NEXT,3,1,2,95.4,95.4,-250.08,-125.04,-154.68
2026-05-09,LWLG,AAOI IPGP LITE,3,1,2,4.62,4.62,-51.72,-25.86,-47.1
