No.,Symbol,Company,Index,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield%,Short Ratio,Total Debt/Equity,Profit Margin%,Performance (Quarter)%,Performance (YTD)%,Beta,Earnings Date,Average Volume,Target Price,Price,Change
1,A,Agilent Technologies Inc,S&P 500,Healthcare,Diagnostics & Research,USA,32515.97,26.21,21.13,5.15,0.009,2.07,0.56,0.193,-0.159,-0.151,1.19,2/26/2025 16:30,1886.43,151.27,114.05,-2.50%
2,AAPL,Apple Inc,"DJIA, NDX, S&P 500",Technology,Consumer Electronics,USA,3352776.56,35.48,4.44,3.58,0.005,2.45,1.45,0.243,-0.127,-0.109,1.26,1/30/2025 16:30,52965.24,253.71,223.19,0.48%
3,ABBV,Abbvie Inc,S&P 500,Healthcare,Drug Manufacturers - General,USA,364887.15,86.25,1.88,3.14,0.032,3.07,20.4,0.075,0.159,0.161,0.54,1/31/2025 8:30,6409.51,217.22,206.27,-1.55%
4,ABNB,Airbnb Inc,"NDX, S&P 500",Consumer Cyclical,Travel Services,USA,76408.79,29.31,13.5,16.87,,2.87,0.27,0.239,-0.092,-0.078,1.15,2/13/2025 16:30,5236.66,156.94,121.18,1.44%
5,ABT,Abbott Laboratories,S&P 500,Healthcare,Medical Devices,USA,228393.04,17.19,27.52,4.59,0.018,3.16,0.32,0.318,0.145,0.164,0.8,4/16/2025 8:30,6925.25,138.14,131.69,-0.72%
6,ACGL,Arch Capital Group Ltd,S&P 500,Financial,Insurance - Diversified,Bermuda,36121.34,8.59,53.11,,0.025,2.4,0.14,0.253,0.041,0.041,0.36,2/10/2025 16:30,1862,111.94,96.14,-0.04%
7,ACN,Accenture plc,S&P 500,Technology,Information Technology Services,Ireland,196309.17,25.88,46.69,13.57,0.018,2.11,0.28,0.114,-0.120,-0.109,1.32,3/20/2025 8:30,3296.51,363.9,313.58,0.49%
8,ADBE,Adobe Inc,"NDX, S&P 500",Technology,Software - Application,USA,163319.85,25.24,30.1,17.44,,2.14,0.5,0.306,-0.142,-0.138,1.49,3/12/2025 16:30,3829.11,527.77,383.2,-0.09%
9,ADI,Analog Devices Inc,"NDX, S&P 500",Technology,Semiconductors,USA,98788.59,63.52,70.71,5.49,0.020,2.26,0.22,0.168,-0.082,-0.063,1.06,2/19/2025 8:30,3761.52,260.96,199.18,-1.23%
10,ADM,Archer Daniels Midland Co,S&P 500,Consumer Defensive,Farm Products,USA,23148.3,13.34,46.38,8.68,0.044,2.54,0.52,0.021,-0.047,-0.046,0.65,2/4/2025 8:30,4650.89,49.1,48.21,0.42%
11,ADP,Automatic Data Processing Inc,"NDX, S&P 500",Technology,Software - Application,USA,124722.21,31.98,12.48,5.45,0.019,3.12,0.86,0.198,0.035,0.047,0.75,1/29/2025 8:30,1809.54,312.85,306.54,0.33%
12,ADSK,Autodesk Inc,"NDX, S&P 500",Technology,Software - Application,USA,56361.93,51.64,12.25,8.85,,1.93,0.98,0.182,-0.111,-0.105,1.5,2/27/2025 16:30,1660.34,335.08,264.61,1.07%
13,AEE,Ameren Corp,S&P 500,Utilities,Utilities - Regulated Electric,USA,27196.77,22.77,44.88,0.08,0.028,3.1,1.55,0.155,0.117,0.129,0.47,2/13/2025 16:30,1798.66,103,100.67,0.27%
14,AEP,American Electric Power Company Inc,"NDX, S&P 500",Utilities,Utilities - Regulated Electric,USA,57868.24,19.39,50.56,0.86,0.035,2.66,1.7,0.149,0.171,0.175,0.42,2/13/2025 8:30,3996.47,105.87,108.37,-0.82%
15,AES,AES Corp,S&P 500,Utilities,Utilities - Diversified,USA,8806.21,5.21,5.12,2.87,0.057,1.98,6.42,0.138,-0.030,-0.039,0.8,2/28/2025 8:30,15414.26,14.6,12.37,-0.40%
16,AFL,Aflac Inc,S&P 500,Financial,Insurance - Life,USA,61376.85,11.7,47.45,,0.020,4.95,0.29,0.288,0.088,0.087,0.8,2/5/2025 16:30,1937.45,102.92,112.45,1.13%
17,AIG,American International Group Inc,S&P 500,Financial,Insurance - Diversified,USA,51507.23,17.2,70.15,,0.020,3.24,0.23,0.100,0.189,0.192,0.65,2/11/2025 16:30,5000.37,88.06,86.81,-0.15%
18,AIZ,Assurant Inc,S&P 500,Financial,Insurance - Property & Casualty,USA,10745.54,14.62,100.46,,0.015,2.04,0.42,0.064,-0.016,-0.008,0.52,2/11/2025 16:30,444.16,232.6,211.56,0.86%
19,AJG,Arthur J. Gallagher & Co,S&P 500,Financial,Insurance Brokers,USA,87936.96,52.69,80.61,58.63,0.008,1.91,0.67,0.128,0.200,0.211,0.65,3/20/2025 8:30,1690.94,335.29,343.86,-0.40%
20,AKAM,Akamai Technologies Inc,S&P 500,Technology,Software - Infrastructure,USA,12121.23,24.7,32.52,10.62,,2.97,0.95,0.127,-0.169,-0.157,0.8,2/20/2025 16:30,2644.72,102.47,80.6,0.12%
21,ALB,Albemarle Corp,S&P 500,Basic Materials,Specialty Chemicals,USA,8444.13,,65.72,10.14,0.022,5.01,0.37,-0.245,-0.187,-0.166,1.59,2/12/2025 16:30,2547.38,95.25,71.82,-0.28%
22,ALGN,"Align Technology, Inc",S&P 500,Healthcare,Medical Instruments & Supplies,USA,11573.09,28.11,52.16,14.26,,3.74,0.03,0.105,-0.252,-0.242,1.73,2/5/2025 16:30,1017.96,254.93,158.08,-0.49%
23,ALL,Allstate Corp,S&P 500,Financial,Insurance - Property & Casualty,USA,54992.91,12.21,73.36,,0.019,2.04,0.39,0.071,0.071,0.076,0.36,2/5/2025 16:30,1939.62,230.19,207.5,0.21%
24,ALLE,Allegion plc,S&P 500,Industrials,Security & Protection Services,Ireland,11304.04,19.21,17.4,5.84,0.015,2.42,1.43,0.158,-0.007,0.002,1.02,2/18/2025 8:30,973.74,137.78,131,0.41%
25,AMAT,Applied Materials Inc,"NDX, S&P 500",Technology,Semiconductor Equipment & Materials,USA,118340.13,19.06,22.92,10.11,0.011,2.96,0.35,0.230,-0.127,-0.104,1.6,2/13/2025 16:30,6865.71,207.3,145.66,0.37%
26,AMCR,Amcor Plc,S&P 500,Consumer Cyclical,Packaging & Containers,United Kingdom,14178.82,17.81,2.62,0.31,0.052,6.56,1.96,0.059,0.039,0.043,0.78,2/4/2025 8:30,22570.97,11.03,9.81,1.13%
27,AMD,Advanced Micro Devices Inc,"NDX, S&P 500",Technology,Semiconductors,USA,166552.73,102.45,35.49,3.17,,1.46,0.04,0.064,-0.179,-0.149,1.89,2/4/2025 16:30,38322.15,146.61,102.78,0.04%
28,AME,Ametek Inc,S&P 500,Industrials,Specialty Industrial Machinery,USA,39663.08,29,41.85,1.62,0.007,2.23,0.24,0.198,-0.058,-0.046,1.14,2/4/2025 8:30,1327.87,204.64,171.89,-0.15%
29,AMGN,AMGEN Inc,"DJIA, NDX, S&P 500",Healthcare,Drug Manufacturers - General,USA,164878.95,40.67,10.95,22.29,0.032,4.8,10.36,0.123,0.169,0.178,0.58,2/4/2025 16:30,3138.9,314.96,306.92,-1.49%
30,AMP,Ameriprise Financial Inc,S&P 500,Financial,Asset Management,USA,46822.36,14.78,54.36,88.94,0.013,2.12,1.11,0.189,-0.088,-0.082,1.22,1/29/2025 16:30,547.27,575.38,488.68,0.94%
31,AMT,American Tower Corp,S&P 500,Real Estate,REIT - Specialty,USA,102578.82,45.57,7.24,4.51,0.031,2.78,13,0.209,0.207,0.196,0.88,2/25/2025 8:30,2543.06,235.15,219.44,0.85%
32,AMZN,Amazon.com Inc,"DJIA, NDX, S&P 500",Consumer Cyclical,Internet Retail,USA,2036565.47,34.8,27,9.88,,1.96,0.52,0.093,-0.141,-0.124,1.39,2/6/2025 16:30,40053.41,267.08,192.17,1.00%
33,ANET,Arista Networks Inc,S&P 500,Technology,Computer Hardware,USA,98985.52,35.26,7.92,6.58,,1.84,0.01,0.407,-0.306,-0.290,1.3,2/18/2025 16:30,10800.25,121.09,78.49,1.30%
34,ANSS,Ansys Inc,"NDX, S&P 500",Technology,Software - Application,USA,28117.82,49.02,69.53,17.08,,3.34,0.14,0.226,-0.056,-0.049,1.2,2/19/2025 16:30,511.5,353.29,320.79,1.34%
35,AON,Aon plc,S&P 500,Financial,Insurance Brokers,Ireland,86143.4,31.5,28.34,6.04,0.007,4.67,2.92,0.169,0.107,0.110,0.82,1/31/2025 8:30,1169.69,409.06,398.81,-0.07%
36,AOS,A.O. Smith Corp,S&P 500,Industrials,Specialty Industrial Machinery,USA,9415.51,18.1,13.05,1.92,0.021,3.63,0.12,0.140,-0.041,-0.038,1.26,1/30/2025 8:30,1418.88,75.5,65.6,0.37%
37,APA,APA Corporation,S&P 500,Energy,Oil & Gas E&P,USA,7692.68,9.4,14.45,1.72,0.048,4.53,1.22,0.083,-0.044,-0.085,2.74,2/26/2025 16:30,7717.66,27.9,21.13,0.52%
38,APD,Air Products & Chemicals Inc,S&P 500,Basic Materials,Specialty Chemicals,USA,65285.49,17.04,75.03,8.82,0.025,2.79,0.91,0.320,0.002,0.012,0.9,2/6/2025 8:30,1517.43,353.3,293.45,-0.50%
39,APH,Amphenol Corp,S&P 500,Technology,Electronic Components,USA,80062.52,34.45,8.1,2.75,0.010,1.59,0.74,0.159,-0.066,-0.049,1.18,4/23/2025 8:30,8193.52,86.47,66.07,0.73%
40,APO,Apollo Global Management Inc,S&P 500,Financial,Asset Management,USA,78937.37,19.13,28.03,32.08,0.015,9.95,0.61,0.165,-0.187,-0.162,1.65,2/4/2025 8:30,3638.54,182.53,138.37,1.04%
41,APTV,Aptiv PLC,S&P 500,Consumer Cyclical,Auto Parts,Switzerland,13571.75,8.6,37.42,6.86,,2.41,1.01,0.091,-0.020,-0.022,1.64,2/6/2025 8:30,3604.46,81.78,59.15,-0.59%
42,ARE,Alexandria Real Estate Equities Inc,S&P 500,Real Estate,REIT - Office,USA,15777.32,50.63,103.88,3.23,0.059,2.64,0.83,0.099,-0.073,-0.066,1.26,4/28/2025 16:30,1290.45,116.54,91.15,-1.47%
43,ATO,Atmos Energy Corp,S&P 500,Utilities,Utilities - Regulated Gas,USA,24593.35,22.16,80.52,3.71,0.023,5.26,0.67,0.259,0.112,0.113,0.68,2/4/2025 16:30,910.78,155,154.94,0.23%
