No.,Symbol,Company
1,A,Agilent Technologies Inc.
2,AAL,American Airlines Group Inc
3,AAPL,Apple Inc
4,ABBV,Abbvie Inc
5,ABNB,Airbnb Inc
6,ABT,Abbott Laboratories
7,ACGL,Arch Capital Group Ltd
8,ACN,Accenture plc
9,ADBE,Adobe Inc
10,ADI,Analog Devices Inc.
11,ADM,Archer Daniels Midland Co.
12,ADP,Automatic Data Processing Inc.
13,ADSK,Autodesk Inc.
14,AEE,Ameren Corp.
15,AEP,American Electric Power Company Inc.
16,AES,AES Corp.
17,AFL,Aflac Inc.
18,AIG,American International Group Inc
19,AIZ,Assurant Inc
20,AJG,Arthur J. Gallagher & Co.
21,AKAM,Akamai Technologies Inc
22,ALB,Albemarle Corp.
23,ALGN,"Align Technology, Inc."
24,ALL,Allstate Corp
25,ALLE,Allegion plc
26,AMAT,Applied Materials Inc.
27,AMCR,Amcor Plc
28,AMD,Advanced Micro Devices Inc.
29,AME,Ametek Inc
30,AMGN,AMGEN Inc.
31,AMP,Ameriprise Financial Inc
32,AMT,American Tower Corp.
33,AMZN,Amazon.com Inc.
34,ANET,Arista Networks Inc
35,ANSS,Ansys Inc.
36,AON,Aon plc.
37,AOS,A.O. Smith Corp.
38,APA,APA Corporation
39,APD,Air Products & Chemicals Inc.
40,APH,Amphenol Corp.
41,APTV,Aptiv PLC
42,ARE,Alexandria Real Estate Equities Inc.
43,ATO,Atmos Energy Corp.
44,AVB,Avalonbay Communities Inc.
45,AVGO,Broadcom Inc
46,AVY,Avery Dennison Corp.
47,AWK,American Water Works Co. Inc.
48,AXON,Axon Enterprise Inc
49,AXP,American Express Co.
50,AZO,Autozone Inc.
51,BA,Boeing Co.
52,BAC,Bank Of America Corp.
53,BALL,Ball Corp.
54,BAX,Baxter International Inc.
55,BBWI,Bath & Body Works Inc
56,BBY,Best Buy Co. Inc.
57,BDX,Becton Dickinson & Co.
58,BEN,"Franklin Resources, Inc."
59,BF-B,Brown-Forman Corp.
60,BG,Bunge Global SA
61,BIIB,Biogen Inc
62,BIO,Bio-Rad Laboratories Inc.
63,BK,Bank Of New York Mellon Corp
64,BKNG,Booking Holdings Inc
65,BKR,Baker Hughes Co
66,BLDR,Builders Firstsource Inc
67,BLK,Blackrock Inc.
68,BMY,Bristol-Myers Squibb Co.
69,BR,"Broadridge Financial Solutions, Inc."
70,BRK-B,Berkshire Hathaway Inc.
71,BRO,"Brown & Brown, Inc."
72,BSX,Boston Scientific Corp.
73,BWA,BorgWarner Inc
74,BX,Blackstone Inc
75,BXP,BXP Inc.
76,C,Citigroup Inc
77,CAG,Conagra Brands Inc
78,CAH,"Cardinal Health, Inc."
79,CARR,Carrier Global Corp
80,CAT,Caterpillar Inc.
81,CB,Chubb Limited
82,CBOE,Cboe Global Markets Inc.
83,CBRE,CBRE Group Inc
84,CCI,Crown Castle Inc
85,CCL,Carnival Corp.
86,CDNS,"Cadence Design Systems, Inc."
87,CDW,CDW Corp
88,CE,Celanese Corp
89,CEG,Constellation Energy Corporation
90,CF,CF Industries Holdings Inc
91,CFG,Citizens Financial Group Inc
92,CHD,"Church & Dwight Co., Inc."
93,CHRW,"C.H. Robinson Worldwide, Inc."
94,CHTR,Charter Communications Inc.
95,CI,Cigna Group
96,CINF,Cincinnati Financial Corp.
97,CL,Colgate-Palmolive Co.
98,CLX,Clorox Co.
99,CMCSA,Comcast Corp
100,CME,CME Group Inc
101,CMG,Chipotle Mexican Grill
102,CMI,Cummins Inc.
103,CMS,CMS Energy Corporation
104,CNC,Centene Corp.
105,CNP,Centerpoint Energy Inc.
106,COF,Capital One Financial Corp.
107,COO,"Cooper Companies, Inc."
108,COP,Conoco Phillips
109,COR,Cencora Inc.
110,COST,Costco Wholesale Corp
111,CPAY,Corpay Inc.
112,CPB,Campbell Soup Co.
113,CPRT,"Copart, Inc."
114,CPT,Camden Property Trust
115,CRL,Charles River Laboratories International Inc.
116,CRM,Salesforce Inc
117,CRWD,Crowdstrike Holdings Inc
118,CSCO,"Cisco Systems, Inc."
119,CSGP,"Costar Group, Inc."
120,CSX,CSX Corp.
121,CTAS,Cintas Corporation
122,CTLT,Catalent Inc.
123,CTRA,Coterra Energy Inc
124,CTSH,Cognizant Technology Solutions Corp.
125,CTVA,Corteva Inc
126,CVS,CVS Health Corp
127,CVX,Chevron Corp.
128,CZR,Caesars Entertainment Inc
129,D,Dominion Energy Inc
130,DAL,"Delta Air Lines, Inc."
131,DAY,Dayforce Inc
132,DD,DuPont de Nemours Inc
133,DE,Deere & Co.
134,DECK,Deckers Outdoor Corp.
135,DFS,Discover Financial Services
136,DG,Dollar General Corp.
137,DGX,"Quest Diagnostics, Inc."
138,DHI,D.R. Horton Inc.
139,DHR,Danaher Corp.
140,DIS,Walt Disney Co
141,DLR,Digital Realty Trust Inc
142,DLTR,Dollar Tree Inc
143,DOC,Healthpeak Properties Inc.
144,DOV,Dover Corp.
145,DOW,Dow Inc
146,DPZ,Dominos Pizza Inc
147,DRI,"Darden Restaurants, Inc."
148,DTE,DTE Energy Co.
149,DUK,Duke Energy Corp.
150,DVA,DaVita Inc
151,DVN,Devon Energy Corp.
152,DXCM,Dexcom Inc
153,EA,"Electronic Arts, Inc."
154,EBAY,EBay Inc.
155,ECL,"Ecolab, Inc."
156,ED,"Consolidated Edison, Inc."
157,EFX,"Equifax, Inc."
158,EG,Everest Group Ltd
159,EIX,Edison International
160,EL,"Estee Lauder Cos., Inc."
161,ELV,Elevance Health Inc
162,EMN,Eastman Chemical Co
163,EMR,Emerson Electric Co.
164,ENPH,Enphase Energy Inc
165,EOG,"EOG Resources, Inc."
166,EPAM,EPAM Systems Inc
167,EQIX,Equinix Inc
168,EQR,Equity Residential Properties Trust
169,EQT,EQT Corp
170,ES,Eversource Energy
171,ESS,"Essex Property Trust, Inc."
172,ETN,Eaton Corporation plc
173,ETR,Entergy Corp.
174,ETSY,Etsy Inc
175,EVRG,Evergy Inc
176,EW,Edwards Lifesciences Corp
177,EXC,Exelon Corp.
178,EXPD,"Expeditors International Of Washington, Inc."
179,EXPE,Expedia Group Inc
180,EXR,Extra Space Storage Inc.
181,F,Ford Motor Co.
182,FANG,Diamondback Energy Inc
183,FAST,Fastenal Co.
184,FCX,Freeport-McMoRan Inc
185,FDS,Factset Research Systems Inc.
186,FDX,Fedex Corp
187,FE,Firstenergy Corp.
188,FFIV,F5 Inc
189,FI,"Fiserv, Inc."
190,FICO,Fair Isaac Corp.
191,FIS,"Fidelity National Information Services, Inc."
192,FITB,Fifth Third Bancorp
193,FMC,FMC Corp.
194,FOX,Fox Corporation
195,FOXA,Fox Corporation
196,FRT,Federal Realty Investment Trust.
197,FSLR,First Solar Inc
198,FTNT,Fortinet Inc
199,FTV,Fortive Corp
