No.,Ticker,Company,Sector
1,GILD,"Gilead Sciences, Inc",Healthcare
2,INCY,Incyte Corp,Healthcare
3,NOW,ServiceNow Inc,Technology
4,AMD,Advanced Micro Devices Inc,Technology
5,TFX,Teleflex Incorporated,Healthcare
6,TYL,"Tyler Technologies, Inc",Technology
7,BSX,Boston Scientific Corp,Healthcare
8,ISRG,Intuitive Surgical Inc,Healthcare
9,LLY,Lilly(Eli) & Co,Healthcare
10,CDNS,"Cadence Design Systems, Inc",Technology
11,ADI,Analog Devices Inc,Technology
12,INTU,Intuit Inc,Technology
13,ROL,"Rollins, Inc",Consumer Cyclical
14,DXCM,Dexcom Inc,Healthcare
15,ADSK,Autodesk Inc,Technology
16,ANSS,Ansys Inc,Technology
17,CTVA,Corteva Inc,Basic Materials
18,SYK,Stryker Corp,Healthcare
19,STE,Steris Plc,Healthcare
20,CTAS,Cintas Corporation,Industrials
21,MSI,Motorola Solutions Inc,Technology
22,CHD,"Church & Dwight Co., Inc",Consumer Defensive
23,CRM,Salesforce Inc,Technology
24,FTNT,Fortinet Inc,Technology
25,SWK,Stanley Black & Decker Inc,Industrials
26,JNPR,Juniper Networks Inc,Technology
27,AMGN,AMGEN Inc,Healthcare
28,NVDA,NVIDIA Corp,Technology
29,COO,"Cooper Companies, Inc",Healthcare
30,DHR,Danaher Corp,Healthcare
31,ROP,Roper Technologies Inc,Technology
32,IDXX,"Idexx Laboratories, Inc",Healthcare
33,CLX,Clorox Co,Consumer Defensive
34,ANET,Arista Networks Inc,Technology
35,MNST,Monster Beverage Corp,Consumer Defensive
36,FAST,Fastenal Co,Industrials
37,BDX,Becton Dickinson & Co,Healthcare
38,CPRT,"Copart, Inc",Industrials
39,TXN,Texas Instruments Inc,Technology
40,VMC,Vulcan Materials Co,Basic Materials
41,AAPL,Apple Inc,Technology
42,WAT,Waters Corp,Healthcare
43,WST,"West Pharmaceutical Services, Inc",Healthcare
44,ECL,"Ecolab, Inc",Basic Materials
