No.,Symbol,Company,Sector,Industry
1,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P
2,CVX,Chevron Corporation,Energy,Oil & Gas Integrated
3,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated
4,COP,ConocoPhillips,Energy,Oil & Gas E&P
5,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General
6,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P
7,EQT,EQT Corporation,Energy,Oil & Gas E&P
8,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General
9,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P
10,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
11,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P
12,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P
13,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
14,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans
15,C,Citigroup Inc.,Financial,Banks - Diversified
16,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology
17,INTC,Intel Corporation,Technology,Semiconductors
18,MSFT,Microsoft Corporation,Technology,Software - Infrastructure
19,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
20,AIG,"American International Group, Inc.",Financial,Insurance - Diversified
21,QCOM,QUALCOMM Incorporated,Technology,Semiconductors
22,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information
23,V,Visa Inc.,Financial,Credit Services
24,DOW,Dow Inc.,Basic Materials,Chemicals
25,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense
26,FISV,"Fiserv, Inc.",Technology,Information Technology Services
27,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified
28,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P
29,ADI,"Analog Devices, Inc.",Technology,Semiconductors
30,CMCSA,Comcast Corporation,Communication Services,Telecom Services
31,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs
32,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified
33,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services
34,ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans
35,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts
36,MDT,Medtronic plc,Healthcare,Medical Devices
37,VZ,Verizon Communications Inc.,Communication Services,Telecom Services
38,PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction
39,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified
40,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services
41,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
42,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services
43,CI,The Cigna Group,Healthcare,Healthcare Plans
44,CB,Chubb Limited,Financial,Insurance - Property & Casualty
45,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
46,HUM,Humana Inc.,Healthcare,Healthcare Plans
47,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General
48,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products
49,STT,State Street Corporation,Financial,Asset Management
