Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,35333.64,26.52,120.42,0.78%,2089124
AAL,American Airlines Group Inc.,Industrials,Airlines,USA,9388.2,5.43,14.35,-0.21%,17055616
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,6633.67,13.57,112.15,0.47%,1442957
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2720908.66,29.8,175.43,1.41%,54769318
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,244565.17,32.46,137.56,-0.76%,7589372
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,34453.32,21.64,168.41,-1.03%,1018256
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,177616.38,31.18,102.87,0.71%,4911765
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,26955.86,13.67,71,-1.91%,1423641
ACN,Accenture plc,Technology,Information Technology Services,Ireland,184254.84,27.95,303.6,4.06%,4578822
ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,179838.95,40.96,415.39,5.95%,7829913
ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,87204.05,25.01,176.53,2.40%,6794796
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,40150.6,9.13,72.73,-1.34%,2858283
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,86921.32,27.14,212.48,0.99%,2143526
ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,42308.02,51.6,198.9,0.68%,2839102
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,21257.86,19.37,80.77,-0.22%,1061163
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,42470.61,21.29,82.25,-0.30%,3387057
AES,The AES Corporation,Utilities,Utilities - Diversified,USA,13353.24,,19.87,-0.40%,4689886
AFL,Aflac Incorporated,Financial,Insurance - Life,USA,39039.02,9.33,64.49,-0.19%,2149874
AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,38850.92,7.05,54.07,0.73%,3115883
AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,6652.02,27.94,124.78,-0.30%,291989
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,43766.16,37.84,203.81,-0.25%,655911
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,13554.71,28.63,90.57,1.70%,1185283
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,24050.42,6.54,203.99,-0.48%,1742702
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,21429.94,70.62,285.39,1.90%,474691
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA,5771.45,98.47,45.1,-0.04%,1098824
ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,29187.55,,109.53,-1.36%,1697155
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,9256.65,19.34,107.1,1.76%,727149
