No.,Symbol,Company,Sector
1,A,Agilent Technologies Inc.,Healthcare
2,AAL,American Airlines Group Inc,Industrials
3,AAPL,Apple Inc,Technology
4,ABBV,Abbvie Inc,Healthcare
5,ABNB,Airbnb Inc,Consumer Cyclical
6,ABT,Abbott Laboratories,Healthcare
7,ACGL,Arch Capital Group Ltd,Financial
8,ACN,Accenture plc,Technology
9,ADBE,Adobe Inc,Technology
10,ADI,Analog Devices Inc.,Technology
11,ADM,Archer Daniels Midland Co.,Consumer Defensive
12,ADP,Automatic Data Processing Inc.,Industrials
13,ADSK,Autodesk Inc.,Technology
14,AEE,Ameren Corp.,Utilities
15,AEP,American Electric Power Company Inc.,Utilities
16,AES,AES Corp.,Utilities
17,AFL,Aflac Inc.,Financial
18,AIG,American International Group Inc,Financial
19,AIZ,Assurant Inc,Financial
20,AJG,Arthur J. Gallagher & Co.,Financial
21,AKAM,Akamai Technologies Inc,Technology
22,ALB,Albemarle Corp.,Basic Materials
23,ALGN,"Align Technology, Inc.",Healthcare
24,ALL,Allstate Corp,Financial
25,ALLE,Allegion plc,Industrials
26,AMAT,Applied Materials Inc.,Technology
27,AMCR,Amcor Plc,Consumer Cyclical
28,AMD,Advanced Micro Devices Inc.,Technology
29,AME,Ametek Inc,Industrials
30,AMGN,AMGEN Inc.,Healthcare
31,AMP,Ameriprise Financial Inc,Financial
32,AMT,American Tower Corp.,Real Estate
33,AMZN,Amazon.com Inc.,Consumer Cyclical
34,ANET,Arista Networks Inc,Technology
35,ANSS,Ansys Inc.,Technology
36,AON,Aon plc.,Financial
37,AOS,A.O. Smith Corp.,Industrials
38,APA,APA Corporation,Energy
39,APD,Air Products & Chemicals Inc.,Basic Materials
40,APH,Amphenol Corp.,Technology
41,APTV,Aptiv PLC,Consumer Cyclical
42,ARE,Alexandria Real Estate Equities Inc.,Real Estate
43,ATO,Atmos Energy Corp.,Utilities
44,AVB,Avalonbay Communities Inc.,Real Estate
45,AVGO,Broadcom Inc,Technology
46,AVY,Avery Dennison Corp.,Consumer Cyclical
47,AWK,American Water Works Co. Inc.,Utilities
48,AXON,Axon Enterprise Inc,Industrials
49,AXP,American Express Co.,Financial
50,AZO,Autozone Inc.,Consumer Cyclical
51,BA,Boeing Co.,Industrials
52,BAC,Bank Of America Corp.,Financial
53,BALL,Ball Corp.,Consumer Cyclical
54,BAX,Baxter International Inc.,Healthcare
55,BBWI,Bath & Body Works Inc,Consumer Cyclical
56,BBY,Best Buy Co. Inc.,Consumer Cyclical
57,BDX,Becton Dickinson & Co.,Healthcare
58,BEN,"Franklin Resources, Inc.",Financial
59,BF-B,Brown-Forman Corp.,Consumer Defensive
60,BG,Bunge Global SA,Consumer Defensive
61,BIIB,Biogen Inc,Healthcare
62,BIO,Bio-Rad Laboratories Inc.,Healthcare
63,BK,Bank Of New York Mellon Corp,Financial
64,BKNG,Booking Holdings Inc,Consumer Cyclical
65,BKR,Baker Hughes Co,Energy
66,BLDR,Builders Firstsource Inc,Industrials
67,BLK,Blackrock Inc.,Financial
68,BMY,Bristol-Myers Squibb Co.,Healthcare
69,BR,"Broadridge Financial Solutions, Inc.",Technology
70,BRK-B,Berkshire Hathaway Inc.,Financial
71,BRO,"Brown & Brown, Inc.",Financial
72,BSX,Boston Scientific Corp.,Healthcare
73,BWA,BorgWarner Inc,Consumer Cyclical
74,BX,Blackstone Inc,Financial
75,BXP,BXP Inc.,Real Estate
76,C,Citigroup Inc,Financial
77,CAG,Conagra Brands Inc,Consumer Defensive
78,CAH,"Cardinal Health, Inc.",Healthcare
79,CARR,Carrier Global Corp,Industrials
80,CAT,Caterpillar Inc.,Industrials
81,CB,Chubb Limited,Financial
82,CBOE,Cboe Global Markets Inc.,Financial
83,CBRE,CBRE Group Inc,Real Estate
84,CCI,Crown Castle Inc,Real Estate
85,CCL,Carnival Corp.,Consumer Cyclical
86,CDNS,"Cadence Design Systems, Inc.",Technology
87,CDW,CDW Corp,Technology
88,CE,Celanese Corp,Basic Materials
89,CEG,Constellation Energy Corporation,Utilities
90,CF,CF Industries Holdings Inc,Basic Materials
91,CFG,Citizens Financial Group Inc,Financial
92,CHD,"Church & Dwight Co., Inc.",Consumer Defensive
93,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
94,CHTR,Charter Communications Inc.,Communication Services
95,CI,Cigna Group,Healthcare
96,CINF,Cincinnati Financial Corp.,Financial
97,CL,Colgate-Palmolive Co.,Consumer Defensive
98,CLX,Clorox Co.,Consumer Defensive
99,CMCSA,Comcast Corp,Communication Services
100,CME,CME Group Inc,Financial
101,CMG,Chipotle Mexican Grill,Consumer Cyclical
102,CMI,Cummins Inc.,Industrials
103,CMS,CMS Energy Corporation,Utilities
104,CNC,Centene Corp.,Healthcare
105,CNP,Centerpoint Energy Inc.,Utilities
106,COF,Capital One Financial Corp.,Financial
107,COO,"Cooper Companies, Inc.",Healthcare
108,COP,Conoco Phillips,Energy
109,COR,Cencora Inc.,Healthcare
110,COST,Costco Wholesale Corp,Consumer Defensive
111,CPAY,Corpay Inc.,Technology
112,CPB,Campbell Soup Co.,Consumer Defensive
113,CPRT,"Copart, Inc.",Industrials
114,CPT,Camden Property Trust,Real Estate
115,CRL,Charles River Laboratories International Inc.,Healthcare
116,CRM,Salesforce Inc,Technology
117,CRWD,Crowdstrike Holdings Inc,Technology
118,CSCO,"Cisco Systems, Inc.",Technology
119,CSGP,"Costar Group, Inc.",Real Estate
120,CSX,CSX Corp.,Industrials
121,CTAS,Cintas Corporation,Industrials
122,CTLT,Catalent Inc.,Healthcare
123,CTRA,Coterra Energy Inc,Energy
124,CTSH,Cognizant Technology Solutions Corp.,Technology
125,CTVA,Corteva Inc,Basic Materials
126,CVS,CVS Health Corp,Healthcare
127,CVX,Chevron Corp.,Energy
128,CZR,Caesars Entertainment Inc,Consumer Cyclical
129,D,Dominion Energy Inc,Utilities
130,DAL,"Delta Air Lines, Inc.",Industrials
131,DAY,Dayforce Inc,Technology
132,DD,DuPont de Nemours Inc,Basic Materials
133,DE,Deere & Co.,Industrials
134,DECK,Deckers Outdoor Corp.,Consumer Cyclical
135,DFS,Discover Financial Services,Financial
136,DG,Dollar General Corp.,Consumer Defensive
137,DGX,"Quest Diagnostics, Inc.",Healthcare
138,DHI,D.R. Horton Inc.,Consumer Cyclical
139,DHR,Danaher Corp.,Healthcare
140,DIS,Walt Disney Co,Communication Services
141,DLR,Digital Realty Trust Inc,Real Estate
142,DLTR,Dollar Tree Inc,Consumer Defensive
143,DOC,Healthpeak Properties Inc.,Real Estate
144,DOV,Dover Corp.,Industrials
145,DOW,Dow Inc,Basic Materials
146,DPZ,Dominos Pizza Inc,Consumer Cyclical
147,DRI,"Darden Restaurants, Inc.",Consumer Cyclical
148,DTE,DTE Energy Co.,Utilities
149,DUK,Duke Energy Corp.,Utilities
150,DVA,DaVita Inc,Healthcare
151,DVN,Devon Energy Corp.,Energy
152,DXCM,Dexcom Inc,Healthcare
153,EA,"Electronic Arts, Inc.",Communication Services
154,EBAY,EBay Inc.,Consumer Cyclical
155,ECL,"Ecolab, Inc.",Basic Materials
156,ED,"Consolidated Edison, Inc.",Utilities
157,EFX,"Equifax, Inc.",Industrials
158,EG,Everest Group Ltd,Financial
159,EIX,Edison International,Utilities
160,EL,"Estee Lauder Cos., Inc.",Consumer Defensive
161,ELV,Elevance Health Inc,Healthcare
162,EMN,Eastman Chemical Co,Basic Materials
163,EMR,Emerson Electric Co.,Industrials
164,ENPH,Enphase Energy Inc,Technology
165,EOG,"EOG Resources, Inc.",Energy
166,EPAM,EPAM Systems Inc,Technology
167,EQIX,Equinix Inc,Real Estate
168,EQR,Equity Residential Properties Trust,Real Estate
169,EQT,EQT Corp,Energy
170,ES,Eversource Energy,Utilities
171,ESS,"Essex Property Trust, Inc.",Real Estate
172,ETN,Eaton Corporation plc,Industrials
173,ETR,Entergy Corp.,Utilities
174,ETSY,Etsy Inc,Consumer Cyclical
175,EVRG,Evergy Inc,Utilities
176,EW,Edwards Lifesciences Corp,Healthcare
177,EXC,Exelon Corp.,Utilities
178,EXPD,"Expeditors International Of Washington, Inc.",Industrials
179,EXPE,Expedia Group Inc,Consumer Cyclical
180,EXR,Extra Space Storage Inc.,Real Estate
181,F,Ford Motor Co.,Consumer Cyclical
182,FANG,Diamondback Energy Inc,Energy
183,FAST,Fastenal Co.,Industrials
184,FCX,Freeport-McMoRan Inc,Basic Materials
185,FDS,Factset Research Systems Inc.,Financial
186,FDX,Fedex Corp,Industrials
187,FE,Firstenergy Corp.,Utilities
188,FFIV,F5 Inc,Technology
189,FI,"Fiserv, Inc.",Technology
190,FICO,Fair Isaac Corp.,Technology
191,FIS,"Fidelity National Information Services, Inc.",Technology
192,FITB,Fifth Third Bancorp,Financial
193,FMC,FMC Corp.,Basic Materials
194,FOX,Fox Corporation,Communication Services
195,FOXA,Fox Corporation,Communication Services
196,FRT,Federal Realty Investment Trust.,Real Estate
197,FSLR,First Solar Inc,Technology
198,FTNT,Fortinet Inc,Technology
199,FTV,Fortive Corp,Technology
200,GD,General Dynamics Corp.,Industrials
201,GDDY,Godaddy Inc,Technology
202,GE,GE Aerospace,Industrials
203,GEHC,GE HealthCare Technologies Inc,Healthcare
204,GEN,Gen Digital Inc,Technology
205,GEV,GE Vernova Inc.,Utilities
206,GILD,"Gilead Sciences, Inc.",Healthcare
207,GIS,"General Mills, Inc.",Consumer Defensive
208,GL,Globe Life Inc,Financial
209,GLW,"Corning, Inc.",Technology
210,GM,General Motors Company,Consumer Cyclical
211,GNRC,Generac Holdings Inc,Industrials
212,GOOG,Alphabet Inc,Communication Services
213,GOOGL,Alphabet Inc,Communication Services
214,GPC,Genuine Parts Co.,Consumer Cyclical
215,GPN,"Global Payments, Inc.",Technology
216,GRMN,Garmin Ltd,Technology
217,GS,"Goldman Sachs Group, Inc.",Financial
218,GWW,W.W. Grainger Inc.,Industrials
219,HAL,Halliburton Co.,Energy
220,HAS,"Hasbro, Inc.",Consumer Cyclical
221,HBAN,"Huntington Bancshares, Inc.",Financial
222,HCA,HCA Healthcare Inc,Healthcare
223,HD,"Home Depot, Inc.",Consumer Cyclical
224,HES,Hess Corporation,Energy
225,HIG,Hartford Financial Services Group Inc.,Financial
226,HII,Huntington Ingalls Industries Inc,Industrials
227,HLT,Hilton Worldwide Holdings Inc,Consumer Cyclical
228,HOLX,"Hologic, Inc.",Healthcare
229,HON,Honeywell International Inc,Industrials
230,HPE,Hewlett Packard Enterprise Co,Technology
231,HPQ,HP Inc,Technology
232,HRL,Hormel Foods Corp.,Consumer Defensive
233,HSIC,Henry Schein Inc.,Healthcare
234,HST,Host Hotels & Resorts Inc,Real Estate
235,HSY,Hershey Company,Consumer Defensive
236,HUBB,Hubbell Inc.,Industrials
237,HUM,Humana Inc.,Healthcare
238,HWM,Howmet Aerospace Inc,Industrials
239,IBM,International Business Machines Corp.,Technology
240,ICE,Intercontinental Exchange Inc,Financial
241,IDXX,"Idexx Laboratories, Inc.",Healthcare
242,IEX,Idex Corporation,Industrials
243,IFF,International Flavors & Fragrances Inc.,Basic Materials
244,INCY,Incyte Corp.,Healthcare
245,INTC,Intel Corp.,Technology
246,INTU,Intuit Inc,Technology
247,INVH,Invitation Homes Inc,Real Estate
248,IP,International Paper Co.,Consumer Cyclical
249,IPG,"Interpublic Group Of Cos., Inc.",Communication Services
250,IQV,IQVIA Holdings Inc,Healthcare
251,IR,Ingersoll-Rand Inc,Industrials
252,IRM,Iron Mountain Inc.,Real Estate
253,ISRG,Intuitive Surgical Inc,Healthcare
254,IT,"Gartner, Inc.",Technology
255,ITW,"Illinois Tool Works, Inc.",Industrials
256,IVZ,Invesco Ltd,Financial
257,J,Jacobs Solutions Inc,Industrials
258,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials
259,JBL,Jabil Inc,Technology
260,JCI,Johnson Controls International plc,Industrials
261,JKHY,"Jack Henry & Associates, Inc.",Technology
262,JNJ,Johnson & Johnson,Healthcare
263,JNPR,Juniper Networks Inc,Technology
264,JPM,JPMorgan Chase & Co.,Financial
265,K,Kellanova Co,Consumer Defensive
266,KDP,Keurig Dr Pepper Inc,Consumer Defensive
267,KEY,Keycorp,Financial
268,KEYS,Keysight Technologies Inc,Technology
269,KHC,Kraft Heinz Co,Consumer Defensive
270,KIM,Kimco Realty Corporation,Real Estate
271,KKR,KKR & Co. Inc,Financial
272,KLAC,KLA Corp.,Technology
273,KMB,Kimberly-Clark Corp.,Consumer Defensive
274,KMI,Kinder Morgan Inc,Energy
275,KMX,Carmax Inc,Consumer Cyclical
276,KO,Coca-Cola Co,Consumer Defensive
277,KR,Kroger Co.,Consumer Defensive
278,KVUE,Kenvue Inc,Consumer Defensive
279,L,Loews Corp.,Financial
280,LDOS,Leidos Holdings Inc,Technology
281,LEN,Lennar Corp.,Consumer Cyclical
282,LH,Labcorp Holdings Inc.,Healthcare
283,LHX,L3Harris Technologies Inc,Industrials
284,LIN,Linde Plc.,Basic Materials
285,LKQ,LKQ Corp,Consumer Cyclical
286,LLY,Lilly(Eli) & Co,Healthcare
287,LMT,Lockheed Martin Corp.,Industrials
288,LNT,Alliant Energy Corp.,Utilities
289,LOW,"Lowe's Cos., Inc.",Consumer Cyclical
290,LRCX,Lam Research Corp.,Technology
291,LULU,Lululemon Athletica inc.,Consumer Cyclical
292,LUV,Southwest Airlines Co,Industrials
293,LVS,Las Vegas Sands Corp,Consumer Cyclical
294,LW,Lamb Weston Holdings Inc,Consumer Defensive
295,LYB,LyondellBasell Industries NV,Basic Materials
296,LYV,Live Nation Entertainment Inc,Communication Services
297,MA,Mastercard Incorporated,Financial
298,MAA,"Mid-America Apartment Communities, Inc.",Real Estate
299,MAR,"Marriott International, Inc.",Consumer Cyclical
300,MAS,Masco Corp.,Industrials
301,MCD,McDonald's Corp,Consumer Cyclical
302,MCHP,"Microchip Technology, Inc.",Technology
303,MCK,Mckesson Corporation,Healthcare
304,MCO,Moody's Corp.,Financial
305,MDLZ,Mondelez International Inc.,Consumer Defensive
306,MDT,Medtronic Plc,Healthcare
307,MET,Metlife Inc,Financial
308,META,Meta Platforms Inc,Communication Services
309,MGM,MGM Resorts International,Consumer Cyclical
310,MHK,"Mohawk Industries, Inc.",Consumer Cyclical
