No.,Symbol,Company,Sector,Industry,Country
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA
2,AAPL,Apple Inc,Technology,Consumer Electronics,USA
3,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA
4,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA
5,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
6,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda
7,ACN,Accenture plc,Technology,Information Technology Services,Ireland
8,ADBE,Adobe Inc,Technology,Software - Application,USA
9,ADI,Analog Devices Inc,Technology,Semiconductors,USA
10,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA
11,ADP,Automatic Data Processing Inc,Technology,Software - Application,USA
12,ADSK,Autodesk Inc,Technology,Software - Application,USA
13,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA
14,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA
15,AES,AES Corp,Utilities,Utilities - Diversified,USA
16,AFL,Aflac Inc,Financial,Insurance - Life,USA
17,AIG,American International Group Inc,Financial,Insurance - Diversified,USA
18,AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA
19,AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA
20,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA
21,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA
22,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA
23,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA
24,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
25,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA
26,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland
27,AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA
28,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA
29,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA
30,AMP,Ameriprise Financial Inc,Financial,Asset Management,USA
31,AMT,American Tower Corp,Real Estate,REIT - Specialty,USA
