Date,Action,Symbol,Company,Reason,,,,,,,,,,
23-Dec-24,Added,APO,Apollo Global Management,Market capitalization change.[4],,,,,,,,,,
23-Dec-24,Added,WDAY,"Workday, Inc.",Market capitalization change.[4],,,,,,,,,,
23-Dec-24,Added,LII,Lennox International,Novo Holdings A/S acquired Catalent.[5],,,,,,,,,,
26-Nov-24,Added,TPL,Texas Pacific Land Corporation,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[6],,,,,,,,,,
30-Sep-24,Added,AMTM,Amentum,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[7]",,,,,,,,,,
23-Sep-24,Added,PLTR,Palantir Technologies,Market capitalization change.[8],,,,,,,,,,
23-Sep-24,Added,DELL,Dell Technologies,Market capitalization change.[8],,,,,,,,,,
23-Sep-24,Added,ERIE,Erie Indemnity,Market capitalization change.[8],,,,,,,,,,
23-Dec-24,Removed,QRVO,Qorvo,Market capitalization change.[4],,,,,,,,,,
23-Dec-24,Removed,AMTM,Amentum,Market capitalization change.[4],,,,,,,,,,
23-Dec-24,Removed,CTLT,Catalent,Novo Holdings A/S acquired Catalent.[5],,,,,,,,,,
26-Nov-24,Removed,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[6],,,,,,,,,,
1-Oct-24,Removed,BBWI,"Bath & Body Works, Inc.",Market capitalization change.[7],,,,,,,,,,
23-Sep-24,Removed,AAL,American Airlines Group,Market capitalization change.[8],,,,,,,,,,
23-Sep-24,Removed,ETSY,Etsy,Market capitalization change.[8],,,,,,,,,,
23-Sep-24,Removed,BIO,Bio-Rad Laboratories,Market capitalization change.[8],,,,,,,,,,
24-Jun-24,Added,KKR,KKR,Market capitalization change.[4],,,,,,,,,,
24-Jun-24,Added,CRWD,CrowdStrike,Market capitalization change.[4],,,,,,,,,,
24-Jun-24,Added,GDDY,GoDaddy,Market capitalization change.[4],,,,,,,,,,
24-Jun-24,Removed,RHI,Robert Half,Market capitalization change.[4],,,,,,,,,,
24-Jun-24,Removed,CMA,Comerica,Market capitalization change.[4],,,,,,,,,,
24-Jun-24,Removed,ILMN,"Illumina, Inc.",Market capitalization change.[4],,,,,,,,,,
8-May-24,Added,VST,Vistra,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[5],,,,,,,,,,
8-May-24,Removed,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[5],,,,,,,,,,
3-Apr-24,Removed,XRAY,Dentsply Sirona,Market capitalization change.[6],,,,,,,,,,
3-Apr-24,Removed,VFC,VF Corporation,Market capitalization change.[6],,,,,,,,,,
2-Apr-24,Added,GEV,GE Vernova,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[6],,,,,,,,,,
1-Apr-24,Added,SOLV,Solventum,S&P 500 and 100 constituent 3M Co. spun off Solventum.[6],,,,,,,,,,
18-Mar-24,Added,SMCI,Supermicro,Market capitalization change.[7],,,,,,,,,,
18-Mar-24,Added,DECK,Deckers Brands,Market capitalization change.[7],,,,,,,,,,
18-Mar-24,Removed,WHR,Whirlpool Corporation,Market capitalization change.[7],,,,,,,,,,
18-Mar-24,Removed,ZION,Zions Bancorporation,Market capitalization change.[7],,,,,,,,,,
18-Dec-23,Added,UBER,Uber,Market capitalization change.[8],,,,,,,,,,
18-Dec-23,Added,JBL,Jabil,Market capitalization change.[8],,,,,,,,,,
18-Dec-23,Added,BLDR,Builders FirstSource,Market capitalization change.[8],,,,,,,,,,
18-Dec-23,Removed,SEE,Sealed Air,Market capitalization change.[8],,,,,,,,,,
18-Dec-23,Removed,ALK,Alaska Air Group,Market capitalization change.[8],,,,,,,,,,
18-Dec-23,Removed,SEDG,SolarEdge,Market capitalization change.[8],,,,,,,,,,
18-Oct-23,Added,HUBB,Hubbell,Market capitalization change.[9],,,,,,,,,,
18-Oct-23,Added,LULU,Lululemon Athletica,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[9],,,,,,,,,,
18-Oct-23,Removed,OGN,Organon & Co.,Market capitalization change.[9],,,,,,,,,,
18-Oct-23,Removed,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[9],,,,,,,,,,
3-Oct-23,Removed,DXC,DXC Technology,Market capitalization change.[10],,,,,,,,,,
2-Oct-23,Added,VLTO,Veralto,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[10],,,,,,,,,,
18-Sep-23,Added,BX,Blackstone,Market capitalization change.[11],,,,,,,,,,
18-Sep-23,Added,ABNB,Airbnb,Market capitalization change.[11],,,,,,,,,,
18-Sep-23,Removed,LNC,Lincoln National Corporation,Market capitalization change.[11],,,,,,,,,,
18-Sep-23,Removed,NWL,Newell Brands,Market capitalization change.[11],,,,,,,,,,
25-Aug-23,Added,KVUE,Kenvue,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[12],,,,,,,,,,
25-Aug-23,Removed,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[12],,,,,,,,,,
20-Jun-23,Added,PANW,Palo Alto Networks,Market capitalization change.[13],,,,,,,,,,
20-Jun-23,Removed,DISH,Dish Network,Market capitalization change.[13],,,,,,,,,,
4-May-23,Added,AXON,Axon Enterprise,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[14],,,,,,,,,,
4-May-23,Removed,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[14],,,,,,,,,,
20-Mar-23,Added,FICO,Fair Isaac,Market capitalization change.[15],,,,,,,,,,
20-Mar-23,Removed,LUMN,Lumen Technologies,Market capitalization change.[15],,,,,,,,,,
15-Mar-23,Added,BG,Bunge Global,The FDIC placed Signature Bank into FDIC Receivership.[16],,,,,,,,,,
15-Mar-23,Added,PODD,Insulet,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[17]",,,,,,,,,,
15-Mar-23,Removed,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[16],,,,,,,,,,
15-Mar-23,Removed,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[17]",,,,,,,,,,
5-Jan-23,Removed,VNO,Vornado Realty Trust,Market capitalization change.[18],,,,,,,,,,
