filing_date,fund,ticker,value_usd,weight
2020-02-13,Baupost Group,FOXA,1012853,0.119933
2020-02-13,Baupost Group,VSAT,1005119,0.119017
2020-02-13,Baupost Group,EBAY,722018,0.085495
2020-02-13,Baupost Group,LNG,619197,0.073320
2020-02-13,Baupost Group,QRVO,319633,0.037848
2020-02-13,Baupost Group,BMY,256760,0.030403
2020-02-13,Baupost Group,NXST,234500,0.027767
2020-02-13,Baupost Group,MCK,220968,0.026165
2020-02-13,Baupost Group,FOX,206763,0.024483
2020-02-13,Baupost Group,HPQ,205500,0.024333
2020-02-13,Baupost Group,PCG,205306,0.024310
2020-02-13,Third Point,BAX,1463350,0.187080
2020-02-13,Third Point,CPB,711648,0.090980
2020-02-13,Third Point,DHR,569411,0.072796
2020-02-13,Third Point,CRM,357808,0.045744
2020-02-13,Third Point,FIS,347725,0.044455
2020-02-13,Third Point,BURL,319242,0.040813
2020-02-13,Third Point,ADBE,313320,0.040056
2020-02-13,Third Point,IQV,309020,0.039506
2020-02-13,Third Point,V,281850,0.036033
2020-02-13,Third Point,BSX,226100,0.028906
2020-02-13,Third Point,SPGI,218440,0.027926
2020-02-13,Third Point,FOXA,185350,0.023696
2020-02-13,Third Point,FIVE,153432,0.019615
2020-02-13,Third Point,CNC,150888,0.019290
2020-02-13,Third Point,AMZN,129349,0.016536
2020-02-14,Berkshire Hathaway,AAPL,71989933,0.319332
2020-02-14,Berkshire Hathaway,BAC,32578803,0.144513
2020-02-14,Berkshire Hathaway,KO,22140000,0.098208
2020-02-14,Berkshire Hathaway,AXP,18874016,0.083721
2020-02-14,Berkshire Hathaway,WFC,17388855,0.077133
2020-02-14,Berkshire Hathaway,KHC,10462647,0.046410
2020-02-14,Berkshire Hathaway,JPM,8296382,0.036801
2020-02-14,Berkshire Hathaway,USB,7853532,0.034837
2020-02-14,Berkshire Hathaway,MCO,5856852,0.025980
2020-02-14,Berkshire Hathaway,DAL,4146844,0.018395
2020-02-14,Berkshire Hathaway,BNY,4014575,0.017808
2020-02-14,Berkshire Hathaway,LUV,2895985,0.012846
2020-02-14,Berkshire Hathaway,DVA,2893575,0.012835
2020-02-14,Berkshire Hathaway,GS,2760252,0.012244
2020-02-14,Berkshire Hathaway,GM,2745000,0.012176
