No.,Ticker,Company,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank,Combined_Rank
1,CTRA,Coterra Energy Inc.,81,14,3,3,2,2,11,1,2,3,2,18,7,9,3,1,18192.79,7.6,1.43,5.27,121,10.78,10.78,19.9,0.17,97.4,4.63,-5.54,-4.7,8978.72,0.25,Energy,Oil & Gas E&P,USA,4.56,23.19,-1.36%,36603456,,2.01,27.03,79.40%,,38.70%,33.00%,27.80%,1.9,1.8,0.17,88.50%,57.90%,44.80%,2/22/2023 16:30,781,760.56,0.10%,-0.63%,0.59%,392.00%,-4.27%,-22.03%,5.60%,-4.19%,5.23%,3.75%,2.7,4.08,0.042690815,-4.88%,-5.07%,-13.21%,-33.22%,4.40%,41.86,-2.52%,1.19%,335,52,75,31,36,261,2,34,65,47,449,169,223,52,6,1837
2,PFE,Pfizer Inc.,98,2,5,8,5,5,9,3,3,5,17,2,9,20,1,4,225725.3,10.58,2.35,13.24,39.3,12.29,4.09,16.3,0.37,70.5,0.69,-7.43,-26.4,21801.34,0.63,Healthcare,Drug Manufacturers - General,USA,7.33,40.1,-0.67%,57441245,,2.25,9.93,22.70%,-5.45%,13.80%,35.10%,25.30%,1.2,1,0.34,65.50%,36.40%,31.30%,1/31/2023 8:30,5614,5610.76,0.05%,-0.36%,0.53%,177.00%,1.80%,-12.71%,-24.23%,-21.74%,2.29%,1.82%,2.5,2.63,0.020448878,-2.13%,-8.14%,-15.41%,-28.80%,2.22%,34.72,-1.45%,0.79%,27,122,182,102,110,221,71,66,111,418,33,224,485,18,77,2267
3,MRK,"Merck & Co., Inc.",99,1,7,14,9,7,3,7,4,9,15,3,5,11,3,1,264046.52,12.1,5.74,34.31,17.4,24.87,2.8,13.5,0.67,76.6,0.81,-3.32,-6.68,8312.03,0.36,Healthcare,Drug Manufacturers - General,USA,18.22,104.1,-3.02%,26385985,1.74,4.45,20.02,25.60%,0.1047,8.10%,33.30%,20.90%,1.5,1.2,0.63,71.00%,30.30%,24.50%,2/2/2023 8:30,2535,2532.66,0.10%,-54.91%,0.64%,247.00%,-3.33%,20.00%,33.26%,-6.17%,3.22%,2.32%,1.9,3.17,0.025456292,-3.81%,-4.04%,5.94%,-9.86%,33.36%,39.17,-2.88%,-0.14%,23,155,341,224,171,64,166,93,223,365,54,121,270,58,16,2344
5,GOOGL,Alphabet Inc.,104,1,11,13,7,15,4,17,3,2,14,2,1,3,1,10,1327990.52,16.53,5.12,22.13,-18.8,20.12,0,16.7,0.06,78.6,0.7,4.83,6.89,38138.45,1.08,Communication Services,Internet Content & Information,USA,22.65,101.62,1.30%,60955544,1.46,4.7,11.67,23.30%,15.51%,20.60%,23.50%,23.40%,2.4,2.3,0.06,55.40%,0.265,21.20%,2/2/2023 16:30,6839,5938.38,0.28%,4.14%,-0.21%,109.00%,12.13%,-1.25%,-23.75%,15.18%,3.78%,2.55%,1.8,1.6,0.029816965,9.45%,7.48%,-0.25%,-29.33%,21.93%,64.99,1.11%,0.18%,3,269,317,155,367,93,425,63,47,349,35,18,68,10,248,2467
4,CSCO,"Cisco Systems, Inc.",104,2,7,13,7,9,16,6,5,3,16,4,1,5,1,9,206627.71,12.48,4.96,22.44,12.7,7.17,3.11,12,0.21,74.9,0.98,3.59,1.81,17341,0.98,Technology,Communication Equipment,USA,18.38,50.19,0.14%,47601973,2.51,3.89,9.37,8.20%,7.32%,1.40%,27.90%,22.90%,1.4,1.3,0.18,61.90%,26.10%,21.30%,2/15/2023 16:30,4103,4092.14,0.10%,-7.55%,-0.07%,232.00%,3.36%,15.94%,-10.07%,5.35%,1.99%,1.82%,2.4,2.75,0.01872883,2.10%,3.59%,9.75%,-11.85%,30.01%,61.56,-0.18%,0.32%,31,166,312,159,213,378,143,119,73,385,90,26,110,23,209,2437
6,XOM,Exxon Mobil Corporation,107,1,5,7,3,1,20,5,3,3,19,2,15,11,2,10,411538.47,9.8,2.12,9.47,146.4,-5.67,3.65,15.3,0.21,59.8,0.8,-13.98,-6.22,15826.87,1.08,Energy,Oil & Gas Integrated,USA,7.52,99.84,-1.18%,42912310,0.28,1.03,13.88,32.60%,26.96%,10.90%,30.60%,18.30%,1.4,1.1,0.21,31.90%,15.90%,14.00%,1/31/2023 8:30,4139,4065.69,0.10%,-0.47%,0.67%,205.00%,-7.37%,5.28%,29.78%,-9.48%,3.61%,2.52%,2.3,2.71,0.032652244,-8.96%,-10.69%,-1.92%,-16.54%,29.54%,25.57,-0.68%,-0.50%,12,103,161,67,25,487,102,76,74,458,51,371,257,27,250,2521
7,INTC,Intel Corporation,108,3,10,3,4,19,1,11,12,5,18,10,2,3,1,6,119789.99,15.92,1.21,12.98,-60,241.61,1.68,4.6,0.41,62.5,1.71,3.33,5.48,43358.88,0.82,Technology,Semiconductors,USA,15.28,29.81,-1.23%,80600777,,1.9,4.23,-8.90%,,0.10%,7.90%,2.50%,1.6,1.2,0.37,42.60%,5.30%,12.70%,1/26/2023 16:30,4137,4133.17,0.07%,5.15%,-1.89%,163.00%,9.52%,3.36%,-36.07%,12.79%,4.14%,3.38%,3.2,1.86,0.033881248,12.37%,6.38%,-4.37%,-43.23%,21.23%,65.09,-0.63%,-0.60%,61,248,54,99,458,6,267,291,125,449,252,30,76,8,143,2567
8,CVX,Chevron Corporation,109,1,5,5,4,2,20,4,4,3,17,2,12,15,3,12,291991.59,10.2,1.83,10.95,124.6,-3.26,3.96,13.8,0.15,72,0.73,-9.86,-11.6,8275.99,1.16,Energy,Oil & Gas Integrated,USA,8.34,152.34,-1.26%,33097859,,1.24,16.31,37.10%,-8.19%,11.80%,23.00%,15.20%,1.5,1.2,0.13,38.30%,17.80%,15.00%,1/27/2023 8:30,1908.43,1896.06,0.08%,-20.18%,-0.67%,168.00%,-4.59%,-5.16%,-3.40%,-15.13%,3.87%,2.51%,2.6,4,0.030392543,-5.65%,-10.22%,-7.65%,-19.69%,14.94%,30.19,-0.99%,-0.28%,20,110,122,80,33,480,83,88,61,404,41,282,355,59,298,2516
9,LEN,Lennar Corporation,111,10,5,3,3,9,11,12,5,4,2,16,3,1,10,17,29598.93,10.21,1.23,10.68,10.3,10.66,1.45,13,0.26,98.2,2.94,0,13.96,2182.26,1.42,Consumer Cyclical,Residential Construction,USA,6.54,103.5,-0.67%,6247545,0.28,0.88,6.19,36.00%,23.70%,21.60%,20.40%,15.30%,,,0.17,22.30%,17.90%,13.50%,3/14/2023 16:30,287.36,263.86,1.70%,0.00%,2.19%,355.00%,6.28%,40.21%,16.94%,14.36%,3.80%,2.66%,2.3,2.86,0.028502415,5.58%,4.37%,21.30%,-5.29%,65.49%,61.89,-1.17%,0.51%,251,111,57,76,221,268,297,103,80,33,396,59,26,239,405,2622
10,EQT,EQT Corporation,112,18,1,2,2,1,1,10,8,7,1,19,6,19,4,13,10907.43,5.1,0.96,5.86,223.2,52.4,2.04,7.9,0.51,99.2,5.53,-4.08,-22.32,6790.82,1.19,Energy,Oil & Gas E&P,USA,8.93,29.37,-2.49%,11552968,0.58,1.45,7.48,47.00%,15.52%,19.40%,18.60%,12.00%,1.1,1.1,0.47,67.80%,,23.60%,2/15/2023 16:30,366.27,358.63,0.20%,-21.83%,1.72%,292.00%,-3.42%,-38.93%,12.66%,-13.18%,5.59%,4.74%,2.1,1.7,0.052093973,-8.24%,-9.40%,-25.49%,-43.49%,12.04%,39.4,-1.81%,-0.70%,449,14,28,37,17,26,235,189,167,7,469,134,468,77,321,2638
