No.,Ticker,Company,Combined_Rank,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank
1,CTRA,Coterra Energy Inc.,1967,70,13,1,2,1,1,13,0,1,2,1,17,7,10,1,0,18443.41,7.44,1.46,5.34,121,8.23,10.56,19.9,0.17,97.4,4.63,-2.56,-4.12,9445.31,0.25,Energy,Oil & Gas E&P,USA,4.66,23.68,2.51%,11467743,,2.04,27.4,79.40%,,38.70%,33.00%,27.80%,1.9,1.8,0.17,88.50%,57.90%,44.80%,2/22/2023 16:30,781,760.56,0.10%,-3.21%,0.60%,3.73,2.11%,-12.63%,-3.36%,-2.17%,3.50%,3.88%,2.7,1.21,0.040118243,-2.94%,-2.87%,-10.55%,-31.81%,6.43%,47,3.81%,-1.26%,335,46,75,30,36,341,3,35,64,45,451,180,271,49,6
2,PFE,Pfizer Inc.,2277,83,1,4,7,3,4,8,3,2,4,16,1,9,18,0,3,228482.59,10.69,2.37,13.4,39.3,12.3,4.06,16.3,0.37,70.5,0.69,-4.52,-21.82,22863.61,0.62,Healthcare,Drug Manufacturers - General,USA,7.38,40.39,0.52%,17212196,,2.28,10.05,22.70%,-5.45%,13.80%,35.10%,25.30%,1.2,1,0.34,65.50%,36.40%,31.30%,1/31/2023 8:30,5614,5610.76,0.04%,-0.50%,0.53%,1.68,0.72%,-9.38%,-22.61%,-21.17%,1.73%,1.94%,2.5,0.75,0.019311711,0.02%,-5.53%,-14.23%,-28.28%,2.96%,41.65,0.50%,0.02%,27,122,177,101,110,220,77,66,112,415,34,244,477,18,77
3,CVX,Chevron Corporation,2488,90,0,4,4,3,1,18,3,3,2,15,1,8,15,2,11,301364.34,10.34,1.87,11.3,124.6,-1.62,3.87,13.8,0.15,72,0.73,-3.63,-10.67,8857.74,1.16,Energy,Oil & Gas Integrated,USA,8.55,156.06,1.00%,6593100,,1.28,16.84,37.10%,-8.19%,11.80%,23.00%,15.20%,1.5,1.2,0.13,38.30%,17.80%,15.00%,1/27/2023 8:30,1908.43,1896.06,0.08%,-20.06%,-0.66%,1.57,2.44%,0.76%,-5.91%,-13.05%,2.89%,2.80%,2.6,0.74,0.030052544,-2.26%,-6.95%,-5.09%,-17.72%,17.75%,41.89,2.32%,-1.29%,19,113,124,78,33,477,86,88,62,401,41,218,391,56,301
4,GOOGL,Alphabet Inc.,2445,90,0,11,12,6,14,3,16,2,1,13,1,0,1,0,10,1337739.45,17.16,5.31,22.29,-18.8,20.12,0,16.7,0.06,78.6,0.7,16.01,17.7,39671.3,1.08,Communication Services,Internet Content & Information,USA,23.5,105.44,-0.15%,30386710,1.52,4.73,11.76,23.30%,15.51%,20.60%,23.50%,23.40%,2.4,2.3,0.06,55.40%,26.50%,21.20%,2/2/2023 16:30,6839,5938.42,0.28%,4.27%,-0.21%,1.05,3.76%,5.29%,-23.75%,19.51%,2.44%,2.60%,1.8,0.77,0.027788316,10.44%,9.70%,3.80%,-26.67%,26.52%,67.47,0.42%,-0.57%,4,283,321,153,367,95,426,63,48,346,35,6,34,9,255
5,XOM,Exxon Mobil Corporation,2486,91,0,4,6,2,0,19,4,3,2,18,1,11,10,1,10,426492.87,10.29,2.2,9.82,146.4,-4.76,3.52,15.3,0.21,59.8,0.8,-6.51,-4.19,16986.22,1.08,Energy,Oil & Gas Integrated,USA,7.8,103.53,0.12%,13395485,0.29,1.07,14.39,32.60%,26.96%,10.90%,30.60%,18.30%,1.4,1.1,0.21,31.90%,15.90%,14.00%,1/31/2023 8:30,4139,4065.69,0.10%,-0.47%,0.67%,1.91,3.70%,14.31%,24.54%,-6.14%,3.05%,2.78%,2.3,0.79,0.031778229,-3.79%,-6.92%,1.56%,-13.46%,30.57%,40.66,1.97%,-1.82%,12,111,164,68,25,483,111,77,72,455,51,302,274,28,253
6,CSCO,"Cisco Systems, Inc.",2476,91,1,6,12,6,8,14,5,4,2,15,3,2,4,1,8,206591.45,12.54,5,22.44,12.7,7.3,3.09,12,0.21,74.9,0.98,2.64,5.98,18199.43,0.98,Technology,Communication Equipment,USA,18.5,50.51,1.57%,19437945,2.53,3.89,9.36,8.20%,7.32%,1.40%,27.90%,22.90%,1.4,1.3,0.18,61.90%,26.10%,21.30%,2/15/2023 16:30,4103,4092.14,0.10%,-7.59%,-0.08%,2.21,0.64%,22.75%,-7.29%,6.02%,2.12%,1.74%,2.3,1.07,0.019204118,2.64%,3.78%,10.16%,-11.29%,30.84%,59.19,1.28%,0.28%,31,163,312,155,213,370,143,117,73,382,91,70,119,27,210
7,MRK,"Merck & Co., Inc.",2518,92,0,5,13,9,6,2,6,3,8,14,2,10,12,2,0,274324.49,12.22,5.78,35.65,17.4,24.59,2.79,13.5,0.67,76.6,0.81,-5.24,-5.68,8792.24,0.36,Healthcare,Drug Manufacturers - General,USA,18.34,104.8,0.55%,6659383,1.75,4.63,20.79,25.60%,10.47%,8.10%,33.30%,20.90%,1.5,1.2,0.63,71.00%,30.30%,24.50%,2/2/2023 8:30,2535,2532.66,0.10%,-54.13%,0.62%,2.34,0.67%,19.76%,31.44%,-5.54%,1.75%,2.29%,2,0.76,0.022900763,-2.23%,-2.72%,6.27%,-9.26%,31.46%,42.99,0.50%,0.05%,22,151,338,232,171,65,163,93,222,362,53,269,304,57,16
8,QCOM,QUALCOMM Incorporated,2506,93,2,5,14,7,3,3,8,0,11,15,1,5,3,2,14,138854.14,10.94,7.44,29.12,45.1,21.58,2.4,24.7,0.9,74.1,0.79,-1.14,8.88,7782.31,1.28,Technology,Semiconductors,USA,11.93,124.76,0.49%,6987080,,3.23,16.86,47.40%,-7.25%,14.70%,71.10%,41.20%,2.1,1.4,0.82,57.20%,33.50%,27.40%,2/2/2023 16:30,1122,1107.81,0.10%,-6.68%,-0.30%,1.13,3.34%,0.87%,-18.39%,13.48%,2.81%,2.76%,2.2,0.9,0.029095864,3.23%,-0.73%,-1.43%,-22.65%,22.40%,54.89,0.91%,-0.42%,54,127,369,195,95,85,202,17,282,386,48,138,86,69,353
9,INTC,Intel Corporation,2524,93,2,9,1,3,18,0,10,11,4,17,10,0,3,0,5,122969.96,15.68,1.19,13.32,-60,241.61,1.7,4.6,0.41,62.5,1.71,14.64,9.43,44818.13,0.82,Technology,Semiconductors,USA,15.05,29.36,1.14%,55910622,,1.95,4.34,-8.90%,,0.10%,7.90%,2.50%,1.6,1.2,0.37,42.60%,5.30%,12.70%,1/26/2023 16:30,4137,4133.17,0.07%,5.17%,-1.81%,1.58,-1.51%,4.60%,-39.18%,11.09%,3.74%,3.37%,3.2,1.25,0.035081744,8.30%,4.64%,-4.66%,-44.09%,19.40%,59.56,1.45%,-0.31%,58,235,47,99,457,6,261,292,125,446,255,8,81,8,146
10,VRTX,Vertex Pharmaceuticals Incorporated,2626,96,3,13,13,5,4,13,18,1,1,3,4,0,3,14,1,82156.4,20.32,5.81,20.93,42.3,8.46,0,20.5,0.03,95.7,1.05,7.46,8.21,1253.71,0.48,Healthcare,Biotechnology,USA,24.52,314.39,3.16%,2376539,4.23,9.2,7.62,65.30%,5.80%,29.10%,26.70%,23.60%,4.8,4.7,0.03,87.90%,48.20%,37.20%,2/7/2023 16:30,257,256.21,0.10%,-26.53%,1.20%,2.14,6.30%,9.80%,26.70%,8.87%,2.11%,2.08%,2.2,1.9,0.02172461,7.32%,4.83%,6.75%,-3.32%,34.93%,66.76,2.95%,0.21%,95,348,341,146,106,332,476,32,41,78,112,22,95,362,40
11,MSFT,Microsoft Corporation,2610,96,0,16,16,11,6,6,13,1,4,15,0,0,1,0,7,2064366.78,26.1,11.41,50.78,19.8,14.82,0.97,18.8,0.35,72.4,0.46,10.13,14.79,32424.84,0.91,Technology,Software - Infrastructure,USA,31.19,280.57,1.05%,28166031,2.62,10.11,20.75,24.30%,11.90%,15.50%,39.30%,31.30%,1.9,1.9,0.32,68.20%,40.50%,33.00%,1/24/2023 16:30,7451,7438.05,0.06%,-0.73%,0.48%,1.06,0.41%,16.43%,-6.32%,16.99%,2.44%,2.35%,1.9,0.87,0.025448195,7.94%,9.96%,11.09%,-11.20%,31.46%,66.71,1.19%,-0.14%,2,424,411,296,164,163,347,44,105,399,3,13,47,14,178
12,COP,ConocoPhillips,2702,100,2,3,7,2,0,18,1,1,4,10,3,14,17,3,15,118784.58,8.53,2.46,9.56,140.3,1.88,5.6,19.9,0.35,83.4,1.01,-9.48,-17.42,6543.52,1.34,Energy,Oil & Gas E&P,USA,6.56,95.43,-1.03%,8385893,0.69,1.51,12.85,65.60%,9.49%,21.60%,38.00%,26.10%,1.5,1.4,0.34,47.80%,34.20%,23.80%,2/2/2023 8:30,1238.89,1217.18,0.10%,-0.49%,-0.14%,1.87,1.10%,-11.50%,-5.67%,-19.13%,2.91%,3.40%,2,1.28,0.039505397,-6.94%,-13.22%,-12.33%,-30.66%,24.40%,35.63,0.92%,-1.93%,63,79,191,67,26,454,28,34,104,274,100,368,450,82,382
13,ADI,"Analog Devices, Inc.",2742,100,3,11,7,9,3,17,9,8,0,7,4,3,2,6,11,95342.77,17.17,2.61,35.4,51.6,2.07,1.83,6.8,0,89.3,1.05,1.1,12.11,3369.62,1.15,Technology,Semiconductors,USA,28.34,187.69,-0.93%,3401785,2.62,7.58,57.07,18.10%,10.82%,18.00%,9.40%,6.80%,2.1,1.5,0.18,65.60%,32.20%,27.30%,2/15/2023 8:30,507.12,504.56,0.36%,-5.55%,0.22%,1.58,0.99%,29.14%,17.94%,14.42%,2.22%,2.25%,2,1.01,0.024242101,1.40%,4.40%,15.50%,-4.44%,40.61%,55.97,-0.74%,-0.19%,82,284,200,228,86,450,249,218,18,192,110,99,62,170,294
14,CTSH,Cognizant Technology Solutions Corporation,2779,101,9,5,7,4,9,12,9,3,1,4,7,13,4,4,10,30185.4,12.01,2.44,18.05,9,9.24,1.98,13.1,0.05,93.5,1.33,-8.77,5.43,4907.49,1.11,Technology,Information Technology Services,USA,13.28,58.65,0.84%,3302953,2.41,1.55,12.07,4.40%,5.50%,5.60%,19.00%,17.30%,2.2,2.2,0.05,35.90%,15.30%,11.80%,2/2/2023 16:30,512,507.88,0.10%,-0.64%,-0.42%,1.38,1.49%,-1.92%,-35.52%,2.55%,2.27%,2.10%,3.1,0.67,0.024722933,-2.85%,-7.50%,-6.78%,-36.93%,14.26%,40.43,1.52%,-0.67%,246,147,185,124,227,309,236,101,46,120,177,347,124,118,272
15,EQT,EQT Corporation,2754,102,17,0,1,1,0,0,9,7,6,0,18,11,17,3,12,11293.75,5.45,1,6.07,223.2,89.97,1.96,7.9,0.51,99.2,5.53,-5.94,-16.59,7058.04,1.19,Energy,Oil & Gas E&P,USA,9.29,30.56,3.49%,6921446,0.6,1.51,7.74,47.00%,15.52%,19.40%,18.60%,12.00%,1.1,1.1,0.47,67.80%,,23.60%,2/15/2023 16:30,366.27,358.63,0.20%,-21.91%,1.73%,2.81,4.05%,-31.53%,6.48%,-9.67%,4.74%,4.65%,2.1,0.98,0.04908377,-3.25%,-4.68%,-21.54%,-41.20%,8.74%,47.1,4.69%,-1.15%,442,16,28,37,17,17,239,191,164,9,470,287,447,77,313
16,PXD,Pioneer Natural Resources Company,2749,102,6,2,5,2,0,18,0,1,2,5,12,9,16,8,16,46275.04,8.02,2.02,9.32,261.2,-1.02,14.17,21.5,0.22,92.5,2.1,-4.22,-12.92,2581.72,1.45,Energy,Oil & Gas E&P,USA,6.2,192.22,1.61%,2185568,,1.9,38.43,92.10%,-7.41%,35.70%,33.70%,28.80%,1,0.8,0.18,54.40%,41.70%,32.10%,2/22/2023 16:30,237,233.31,0.66%,0.04%,-1.17%,1.9,5.59%,-11.68%,-17.05%,-14.00%,3.50%,3.59%,2.5,0.85,0.038549579,-2.07%,-9.33%,-13.42%,-28.45%,8.44%,43.75,2.79%,-1.15%,164,62,145,63,13,476,1,29,75,136,310,235,416,211,413
17,META,"Meta Platforms, Inc.",2709,102,0,11,11,7,17,3,16,3,2,15,6,0,0,0,11,559558.17,17.36,4.32,29.38,-41.7,22.37,0,13.3,0.08,75.2,1.25,19.75,72.02,32701.48,1.15,Communication Services,Internet Content & Information,USA,24.65,206.01,0.85%,27708905,6.21,4.8,13.74,5.40%,3.97%,23.50%,18.60%,16.00%,2.2,2.2,0.08,78.30%,24.80%,19.90%,2/1/2023 16:30,2639,2203.51,0.25%,-3.04%,-1.52%,0.84,5.32%,44.24%,-3.49%,71.19%,2.89%,3.33%,2.1,0.85,0.033978933,10.14%,20.44%,37.50%,-13.02%,133.86%,69.4,0.49%,0.36%,9,290,286,197,428,80,420,96,53,379,155,4,1,12,299
18,V,Visa Inc.,2776,103,0,15,16,8,5,6,14,2,7,0,11,4,4,3,8,455070.51,22.86,13.03,31.6,24.5,14.53,0.81,17.6,0.59,98.9,2.01,-0.04,6.88,6098.85,0.97,Financial,Credit Services,USA,30.89,221.04,-0.70%,4789279,2,15.08,28.23,20.10%,15.48%,9.80%,44.40%,28.10%,1.4,1.4,0.59,80.40%,63.40%,49.20%,1/26/2023 16:30,2060.78,1613.56,0.14%,-8.52%,0.70%,5.32,1.68%,18.97%,2.96%,6.39%,1.88%,1.78%,1.8,0.79,0.019770177,0.56%,-1.12%,6.33%,-5.66%,26.60%,50.6,0.09%,-0.79%,10,389,418,208,142,168,356,56,191,16,296,117,108,96,205
19,MU,"Micron Technology, Inc.",2787,103,4,19,2,15,3,0,14,6,2,11,9,1,1,1,15,66630.15,46.97,1.35,144.85,50.7,157.8,0.75,9.4,0.21,82.4,1.68,4.1,19.48,14015.23,1.41,Technology,Semiconductors,USA,11.09,61.16,-0.29%,18733820,,2.45,6.3,11.90%,,8.60%,12.60%,15.40%,3.5,2.2,0.2,41.30%,25.30%,22.80%,3/28/2023 16:30,1090,1087.78,0.20%,-5.92%,-1.29%,1.3,7.94%,23.16%,-19.15%,22.37%,3.30%,3.15%,2.3,1.34,0.032537606,7.72%,4.15%,6.95%,-29.08%,26.29%,63.37,0.89%,-1.17%,113,488,58,380,88,10,360,164,74,295,249,48,28,32,400
